"pattern","jump","rep","algorithm","Precision","Recall","F1","CorrectNumCP","LocalizationError","MSE","NumSegments"
"none",1,1,"PELT inflated",1,1,1,1,NA,0.0333512519799206,1
"none",1,1,"PELT AR1 approximate",1,1,1,1,NA,0.0333512519799206,1
"none",1,1,"SVP AR1Focus",1,1,1,1,NA,0.0333512519799206,1
"none",1,1,"DeCAFS AR1",1,1,1,1,NA,0.0333512519799206,1
"none",1,1,"SVP AR1Focus multiscale",1,1,1,1,NA,0.0333512519799206,1
"up",1,1,"PELT inflated",0.666666666666667,0.25,0.363636363636364,0,NA,0.713932244231656,3
"up",1,1,"PELT AR1 approximate",0.666666666666667,0.25,0.363636363636364,0,NA,0.713932244231656,3
"up",1,1,"SVP AR1Focus",1,0.25,0.4,0,NA,1.31894570502417,2
"up",1,1,"DeCAFS AR1",0.666666666666667,0.25,0.363636363636364,0,NA,0.713932244231656,3
"up",1,1,"SVP AR1Focus multiscale",0.666666666666667,0.25,0.363636363636364,0,NA,0.713932244231656,3
"updown",1,1,"PELT inflated",1,0.125,0.222222222222222,0,NA,0.250065486918789,1
"updown",1,1,"PELT AR1 approximate",1,0.125,0.222222222222222,0,NA,0.250065486918789,1
"updown",1,1,"SVP AR1Focus",1,0.125,0.222222222222222,0,NA,0.250065486918789,1
"updown",1,1,"DeCAFS AR1",1,0.125,0.222222222222222,0,NA,0.250065486918789,1
"updown",1,1,"SVP AR1Focus multiscale",1,0.125,0.222222222222222,0,NA,0.250065486918789,1
"rand1",1,1,"PELT inflated",1,0.125,0.222222222222222,0,NA,0.594599984033997,1
"rand1",1,1,"PELT AR1 approximate",0.75,0.375,0.5,0,NA,0.319107776138769,4
"rand1",1,1,"SVP AR1Focus",1,0.125,0.222222222222222,0,NA,0.594599984033997,1
"rand1",1,1,"DeCAFS AR1",1,0.125,0.222222222222222,0,NA,0.594599984033997,1
"rand1",1,1,"SVP AR1Focus multiscale",0.75,0.375,0.5,0,NA,0.319107776138769,4
"none",1.1,1,"PELT inflated",1,1,1,1,NA,0.000750552520556348,1
"none",1.1,1,"PELT AR1 approximate",1,1,1,1,NA,0.000750552520556348,1
