"pattern","jump","rep","algorithm","Precision","Recall","F1","CorrectNumCP","LocalizationError","MSE","NumSegments"
"none",0.1,1,"PELT",0.0144927536231884,1,0.0285714285714286,0,NA,1.74880256955761,69
"none",0.1,1,"RFPOP paper",1,1,1,1,NA,0.0138740916485442,1
"none",0.1,1,"SVP MedianMood",1,1,1,1,NA,0.0138740916485442,1
"none",0.1,1,"SVP Wilcoxon",1,1,1,1,NA,0.0138740916485442,1
"none",0.1,1,"RFPOP",1,1,1,1,NA,0.0138740916485442,1
"none",0.1,1,"SVP Wilcoxon multiscale",1,1,1,1,NA,0.0138740916485442,1
"up",0.1,1,"PELT",0.0256410256410256,0.25,0.0465116279069767,0,NA,3.56600869370689,78
"up",0.1,1,"RFPOP paper",0.5,0.125,0.2,0,NA,0.136608010777039,2
"up",0.1,1,"SVP MedianMood",1,0.125,0.222222222222222,0,NA,0.0748184091729997,1
"up",0.1,1,"SVP Wilcoxon",0.166666666666667,0.125,0.142857142857143,0,NA,0.142600540090349,6
"up",0.1,1,"RFPOP",0.5,0.125,0.2,0,NA,0.136608010777039,2
"up",0.1,1,"SVP Wilcoxon multiscale",0.166666666666667,0.125,0.142857142857143,0,NA,0.141432668726237,6
"updown",0.1,1,"PELT",0.037037037037037,0.375,0.0674157303370786,0,NA,1.24752216756023,81
"updown",0.1,1,"RFPOP paper",1,0.125,0.222222222222222,0,NA,0.0101911971058072,1
"updown",0.1,1,"SVP MedianMood",1,0.125,0.222222222222222,0,NA,0.0101911971058072,1
"updown",0.1,1,"SVP Wilcoxon",0.166666666666667,0.125,0.142857142857143,0,NA,0.0841465847771355,6
"updown",0.1,1,"RFPOP",1,0.125,0.222222222222222,0,NA,0.0101911971058072,1
"updown",0.1,1,"SVP Wilcoxon multiscale",0.25,0.125,0.166666666666667,0,NA,0.0292089169610792,4
"rand1",0.1,1,"PELT",0.0303030303030303,0.25,0.0540540540540541,0,NA,1.0294744817236,66
"rand1",0.1,1,"RFPOP paper",0.5,0.125,0.2,0,NA,0.010282766822313,2
"rand1",0.1,1,"SVP MedianMood",1,0.125,0.222222222222222,0,NA,0.00615948605254193,1
"rand1",0.1,1,"SVP Wilcoxon",0.166666666666667,0.125,0.142857142857143,0,NA,0.0618636861457336,6
"rand1",0.1,1,"RFPOP",1,0.125,0.222222222222222,0,NA,0.00615948605254193,1
"rand1",0.1,1,"SVP Wilcoxon multiscale",0.166666666666667,0.125,0.142857142857143,0,NA,0.0548249747622372,6
"none",0.2,1,"PELT",0.0114942528735632,1,0.0227272727272727,0,NA,1.24978604172297,87
"none",0.2,1,"RFPOP paper",1,1,1,1,NA,0.0452420872570015,1
"none",0.2,1,"SVP MedianMood",1,1,1,1,NA,0.0452420872570015,1
"none",0.2,1,"SVP Wilcoxon",0.5,1,0.666666666666667,0,NA,0.0727660246845954,2
"none",0.2,1,"RFPOP",1,1,1,1,NA,0.0452420872570015,1
"none",0.2,1,"SVP Wilcoxon multiscale",1,1,1,1,NA,0.0452420872570015,1
