"pattern","jump","rep","algorithm","Precision","Recall","F1","CorrectNumCP","LocalizationError","MSE","NumSegments"
"none",1,1,"PELT inflated",1,1,1,1,NA,0.0333512519799206,1
"none",1,1,"PELT AR1 approximate",1,1,1,1,NA,0.0333512519799206,1
"none",1,1,"DeCAFS AR1",1,1,1,1,NA,0.0333512519799206,1
"none",1,1,"SVP AR1Focus",1,1,1,1,NA,0.0333512519799206,1
"none",1,1,"SVP AR1Focus multiscale",1,1,1,1,NA,0.0333512519799206,1
"up",1,1,"PELT inflated",0.5,0.142857142857143,0.222222222222222,0,NA,0.647386903622625,3
"up",1,1,"PELT AR1 approximate",1,0.285714285714286,0.444444444444444,0,NA,0.626438967552107,3
"up",1,1,"DeCAFS AR1",0,0,0,0,NA,0.782360220078214,3
"up",1,1,"SVP AR1Focus",0,0,0,0,NA,1.4062941313976,2
"up",1,1,"SVP AR1Focus multiscale",1,0.142857142857143,0.25,0,NA,1.31278851771113,2
"updown",1,1,"PELT inflated",0,0,0,0,NA,0.250065486918789,1
"updown",1,1,"PELT AR1 approximate",0,0,0,0,NA,0.250065486918789,1
"updown",1,1,"DeCAFS AR1",0,0,0,0,NA,0.250065486918789,1
"updown",1,1,"SVP AR1Focus",0,0,0,0,NA,0.250065486918789,1
"updown",1,1,"SVP AR1Focus multiscale",0,0,0,0,NA,0.250065486918789,1
"rand1",1,1,"PELT inflated",0,0,0,0,NA,0.594599984033997,1
"rand1",1,1,"PELT AR1 approximate",0,0,0,0,NA,0.594599984033997,1
"rand1",1,1,"DeCAFS AR1",0,0,0,0,NA,0.594599984033997,1
"rand1",1,1,"SVP AR1Focus",0,0,0,0,NA,0.594599984033997,1
"rand1",1,1,"SVP AR1Focus multiscale",0,0,0,0,NA,0.594599984033997,1
"none",1.2,1,"PELT inflated",1,1,1,1,NA,0.000750552520556348,1
"none",1.2,1,"PELT AR1 approximate",1,1,1,1,NA,0.000750552520556348,1
"none",1.2,1,"DeCAFS AR1",1,1,1,1,NA,0.000750552520556348,1
"none",1.2,1,"SVP AR1Focus",1,1,1,1,NA,0.000750552520556348,1
