"constant","no_change_rate","mean_segments","false_positive_rate"
2,0.669,1.385,0.331
2.25,0.739,1.275,0.261
2.5,0.789,1.218,0.211
2.75,0.82,1.184,0.18
3,0.849,1.154,0.151
3.25,0.886,1.114,0.114
3.5,0.894,1.106,0.106
3.75,0.907,1.093,0.093
4,0.919,1.081,0.081
4.25,0.937,1.063,0.063
4.5,0.948,1.052,0.052
4.75,0.957,1.043,0.043
5,0.967,1.033,0.033
5.25,0.97,1.03,0.03
5.5,0.976,1.024,0.024
5.75,0.978,1.022,0.022
6,0.979,1.021,0.021
6.25,0.982,1.018,0.018
6.5,0.984,1.016,0.016
6.75,0.986,1.014,0.014
7,0.989,1.011,0.011
7.25,0.99,1.01,0.01
7.5,0.992,1.008,0.008
7.75,0.993,1.007,0.007
8,0.995,1.005,0.005
8.25,0.995,1.005,0.005
8.5,0.997,1.003,0.003
8.75,0.997,1.003,0.003
9,0.997,1.003,0.003
9.25,0.997,1.003,0.003
9.5,0.997,1.003,0.003
9.75,0.998,1.002,0.002
10,0.998,1.002,0.002
