"constant","pattern","mean_F1","correct_number_rate","mean_segments"
3.5,"none",0.89952380952381,0.89952380952381,1.10047619047619
3.5,"rand1",0.764740309954596,0.0380952380952382,5.71285714285714
3.5,"up",0.854259560545275,0.641904761904762,7.16952380952381
3.5,"updown",0.723154448725877,0.617142857142857,6.0647619047619
4,"none",0.92952380952381,0.92952380952381,1.07047619047619
4,"rand1",0.749196623482338,0.0119047619047619,5.53571428571429
4,"up",0.8463902288188,0.621428571428571,7.04
4,"updown",0.687632317418032,0.586666666666667,5.7652380952381
4.25,"none",0.939047619047619,0.939047619047619,1.06095238095238
4.25,"rand1",0.739988434845578,0.00571428571428569,5.4552380952381
4.25,"up",0.841686350686351,0.612857142857143,6.98333333333333
4.25,"updown",0.670202834202834,0.572380952380952,5.62619047619048
4.5,"none",0.948095238095238,0.948095238095238,1.05190476190476
4.5,"rand1",0.731895123395123,0.00285714285714285,5.38809523809524
4.5,"up",0.8380466147609,0.600952380952381,6.92571428571429
4.5,"updown",0.654317854103568,0.559047619047619,5.49571428571429
4.75,"none",0.954285714285714,0.954285714285714,1.04571428571429
4.75,"rand1",0.722190032190032,0.00190476190476193,5.31619047619048
4.75,"up",0.83323323237609,0.592857142857143,6.86904761904762
4.75,"updown",0.634998702355845,0.542857142857143,5.35285714285714
5,"none",0.960952380952381,0.960952380952381,1.03904761904762
5,"rand1",0.713114422614423,0.000952380952380965,5.25142857142857
5,"up",0.829859711716855,0.585714285714286,6.81952380952381
5,"updown",0.621944338730053,0.531904761904762,5.25
5.5,"none",0.96952380952381,0.96952380952381,1.03047619047619
5.5,"rand1",0.698736763236763,0,5.14619047619048
5.5,"up",0.8202918140061,0.563809523809524,6.72714285714286
5.5,"updown",0.596061359275645,0.507142857142857,5.04571428571429
6,"none",0.978571428571428,0.978571428571428,1.02142857142857
6,"rand1",0.686860898360898,0,5.06238095238095
6,"up",0.813171532171532,0.540952380952381,6.62619047619048
6,"updown",0.568377622377622,0.482380952380953,4.84809523809524
6.25,"none",0.981428571428572,0.981428571428572,1.01857142857143
6.25,"rand1",0.680490527990528,0,5.01952380952381
6.25,"up",0.809159583802441,0.531428571428571,6.57666666666667
6.25,"updown",0.555207348207348,0.469047619047619,4.75142857142857
