"c","pattern","F1","segments"
0.5,"none",0.666111111111111,2.005
0.75,"none",0.731388888888889,1.80583333333333
1,"none",0.878888888888889,1.36333333333333
1.25,"none",0.960833333333333,1.1175
1.5,"none",0.990277777777778,1.02916666666667
1.75,"none",0.996666666666667,1.01
2,"none",0.999722222222222,1.00083333333333
2.25,"none",1,1
2.5,"none",1,1
2.75,"none",1,1
3,"none",1,1
0.5,"rand1",0.357001491706869,13.5916666666667
0.75,"rand1",0.444232787851983,10.8975
1,"rand1",0.505796733459466,9.41083333333333
1.25,"rand1",0.554666731166151,8.36833333333333
1.5,"rand1",0.581388811079988,7.865
1.75,"rand1",0.600707381670617,7.64666666666667
2,"rand1",0.599924908424909,7.49916666666667
2.25,"rand1",0.597319444444445,7.35916666666667
2.5,"rand1",0.585709249084249,7.2175
2.75,"rand1",0.57437561050061,7.06333333333333
3,"rand1",0.560793498168498,6.895
