"experiment","n","k","rep","noise","method","time","nsegments","mean_candidates","max_candidates","error"
"no_change",256,0,1,"student","SVP Gaussian",0.001,19,19.41796875,64,NA
"no_change",329,0,1,"student","SVP Gaussian",0.00199999999999989,21,20.2674772036474,57,NA
"no_change",424,0,1,"student","SVP Gaussian",0.002,23,21.5400943396226,59,NA
"no_change",545,0,1,"student","SVP Gaussian",0.002,48,17.8477064220184,58,NA
"no_change",702,0,1,"student","SVP Gaussian",0.002,45,22.7948717948718,75,NA
"no_change",903,0,1,"student","SVP Gaussian",0.003,49,28.2912513842746,111,NA
"no_change",1162,0,1,"student","SVP Gaussian",0.003,76,22.5722891566265,81,NA
"no_change",1495,0,1,"student","SVP Gaussian",0.004,89,23.1919732441471,99,NA
"no_change",1923,0,1,"student","SVP Gaussian",0.006,109,27.108164326573,129,NA
"no_change",2474,0,1,"student","SVP Gaussian",0.00900000000000001,110,35.4163298302343,164,NA
"no_change",3183,0,1,"student","SVP Gaussian",0.011,165,30.1473452717561,140,NA
"no_change",4096,0,1,"student","SVP Gaussian",0.014,193,32.30908203125,156,NA
"no_change",256,0,2,"student","SVP Gaussian",0,19,14.2109375,36,NA
"no_change",329,0,2,"student","SVP Gaussian",0.00100000000000011,20,21.2613981762918,67,NA
"no_change",424,0,2,"student","SVP Gaussian",0.00100000000000011,26,21.8490566037736,75,NA
"no_change",545,0,2,"student","SVP Gaussian",0.002,30,31.5467889908256,116,NA
"no_change",702,0,2,"student","SVP Gaussian",0.002,46,26.0897435897435,89,NA
"no_change",903,0,2,"student","SVP Gaussian",0.00299999999999989,71,30.4352159468438,118,NA
"no_change",1162,0,2,"student","SVP Gaussian",0.004,70,22.6514629948365,91,NA
"no_change",1495,0,2,"student","SVP Gaussian",0.004,75,26.6615384615385,89,NA
"no_change",1923,0,2,"student","SVP Gaussian",0.0069999999999999,104,28.0488819552782,93,NA
"no_change",2474,0,2,"student","SVP Gaussian",0.0069999999999999,115,29.3031527890057,111,NA
"no_change",3183,0,2,"student","SVP Gaussian",0.0109999999999999,146,32.5435124096763,189,NA
"no_change",4096,0,2,"student","SVP Gaussian",0.016,167,38.194091796875,181,NA
"no_change",256,0,3,"student","SVP Gaussian",0.00099999999999989,17,25.8125,86,NA
"no_change",329,0,3,"student","SVP Gaussian",0,26,17.9939209726444,64,NA
"no_change",424,0,3,"student","SVP Gaussian",0.00099999999999989,22,30.8160377358491,97,NA
"no_change",545,0,3,"student","SVP Gaussian",0.00099999999999989,41,20.8422018348624,83,NA
"no_change",702,0,3,"student","SVP Gaussian",0.002,44,20.1894586894587,67,NA
"no_change",903,0,3,"student","SVP Gaussian",0.004,38,45.2834994462902,203,NA
"no_change",1162,0,3,"student","SVP Gaussian",0.00299999999999989,62,28.3450946643718,105,NA
"no_change",1495,0,3,"student","SVP Gaussian",0.00500000000000012,69,31.2688963210702,104,NA
