"experiment","n","k","rep","noise","method","time","nsegments","mean_candidates","max_candidates","error"
"vary_k",2000,0,1,"student","SVP Gaussian",0.00699999999999079,125,27.5459999999999,117,NA
"vary_k",2000,1,1,"student","SVP Gaussian",0.007000000000005,103,32.1695,143,NA
"vary_k",2000,2,1,"student","SVP Gaussian",0.00699999999999079,94,34.8624999999999,179,NA
"vary_k",2000,3,1,"student","SVP Gaussian",0.00799999999999557,90,35.9824999999999,195,NA
"vary_k",2000,4,1,"student","SVP Gaussian",0.00699999999999079,96,28.778,117,NA
"vary_k",2000,5,1,"student","SVP Gaussian",0.007000000000005,105,30.2055,112,NA
"vary_k",2000,6,1,"student","SVP Gaussian",0.00600000000000023,114,24.8155,118,NA
"vary_k",2000,7,1,"student","SVP Gaussian",0.00699999999999079,115,31.6259999999999,144,NA
"vary_k",2000,8,1,"student","SVP Gaussian",0.007000000000005,109,25.9050000000001,133,NA
"vary_k",2000,9,1,"student","SVP Gaussian",0.00799999999999557,102,36.1179999999998,199,NA
"vary_k",2000,10,1,"student","SVP Gaussian",0.007000000000005,92,31.344,119,NA
"vary_k",2000,11,1,"student","SVP Gaussian",0.00600000000000023,110,24.3985,84,NA
"vary_k",2000,12,1,"student","SVP Gaussian",0.00800000000000978,101,32.5605,155,NA
"vary_k",2000,13,1,"student","SVP Gaussian",0.00600000000000023,108,25.0674999999999,94,NA
"vary_k",2000,14,1,"student","SVP Gaussian",0.00600000000000023,105,25.124,87,NA
"vary_k",2000,15,1,"student","SVP Gaussian",0.00699999999999079,95,28.9975,126,NA
"vary_k",2000,16,1,"student","SVP Gaussian",0.00600000000000023,124,22.0425,118,NA
"vary_k",2000,17,1,"student","SVP Gaussian",0.00600000000000023,139,22.0545,112,NA
"vary_k",2000,18,1,"student","SVP Gaussian",0.007000000000005,119,22.067,106,NA
"vary_k",2000,19,1,"student","SVP Gaussian",0.00600000000000023,136,21.9615000000001,82,NA
"vary_k",2000,20,1,"student","SVP Gaussian",0.00600000000000023,123,22.044,88,NA
"vary_k",2000,21,1,"student","SVP Gaussian",0.00600000000000023,110,23.4715,81,NA
"vary_k",2000,22,1,"student","SVP Gaussian",0.00600000000000023,124,22.7725,88,NA
"vary_k",2000,23,1,"student","SVP Gaussian",0.00600000000000023,147,17.8355,76,NA
"vary_k",2000,24,1,"student","SVP Gaussian",0.00600000000000023,133,21.288,70,NA
"vary_k",2000,25,1,"student","SVP Gaussian",0.00600000000000023,129,20.3035,78,NA
"vary_k",2000,26,1,"student","SVP Gaussian",0.00600000000000023,132,19.558,75,NA
"vary_k",2000,27,1,"student","SVP Gaussian",0.00600000000000023,130,21.002,73,NA
"vary_k",2000,28,1,"student","SVP Gaussian",0.007000000000005,115,21.186,71,NA
"vary_k",2000,29,1,"student","SVP Gaussian",0.00600000000000023,128,20.3215,68,NA
"vary_k",2000,30,1,"student","SVP Gaussian",0.00600000000000023,137,18.9995000000001,66,NA
"vary_k",2000,31,1,"student","SVP Gaussian",0.00499999999999545,131,20.064,64,NA
"vary_k",2000,32,1,"student","SVP Gaussian",0.00600000000000023,107,20.9355,62,NA
"vary_k",2000,33,1,"student","SVP Gaussian",0.00600000000000023,123,19.5875,60,NA
"vary_k",2000,34,1,"student","SVP Gaussian",0.00499999999999545,149,17.09,58,NA
"vary_k",2000,35,1,"student","SVP Gaussian",0.00600000000000023,137,18.3595,57,NA
"vary_k",2000,36,1,"student","SVP Gaussian",0.00600000000000023,137,19.0985,56,NA
"vary_k",2000,37,1,"student","SVP Gaussian",0.00600000000000023,123,18.8095,55,NA
"vary_k",2000,38,1,"student","SVP Gaussian",0.00600000000000023,122,19.1565,53,NA
