"n","replicate","PELT","PELT_nchanges","SVP","SVP_nchanges","SVP_right","SVP_right_nchanges"
1024,1,0.002,1,0.019,1,0.001,1
1024,2,0.002,1,0.019,1,0,1
1024,3,0.002,1,0.0199999999999999,1,0,1
1024,4,0.001,1,0.018,1,0,1
1024,5,0.001,1,0.02,1,0.000999999999999973,1
1024,6,0.001,1,0.019,1,0,1
1024,7,0.002,1,0.0189999999999999,1,0,1
1024,8,0.002,1,0.0179999999999998,1,0,1
1024,9,0.002,1,0.0190000000000001,1,0,1
1024,10,0.00099999999999989,1,0.02,1,0,1
1024,11,0.002,1,0.02,1,0.001,1
1024,12,0.00100000000000011,1,0.02,1,0,1
1024,13,0.002,1,0.0189999999999999,1,0,1
1024,14,0.002,1,0.0189999999999999,1,0,1
1024,15,0.002,1,0.0189999999999999,1,0,1
1024,16,0.002,1,0.02,1,0,1
1024,17,0.00099999999999989,1,0.0189999999999999,1,0,1
1024,18,0.002,1,0.0190000000000001,1,0,1
1024,19,0.00199999999999978,1,0.0179999999999998,1,0,1
1024,20,0.00099999999999989,1,0.0180000000000002,1,0,1
1185,1,0.00199999999999978,1,0.0259999999999998,1,0,1
1185,2,0.00200000000000022,1,0.0249999999999999,1,0,1
1185,3,0.00099999999999989,1,0.0249999999999999,1,0,1
1185,4,0.00199999999999978,1,0.0259999999999998,1,0,1
1185,5,0.00199999999999978,1,0.0269999999999997,1,0,1
1185,6,0.00199999999999978,1,0.0260000000000002,1,0,1
1185,7,0.00300000000000011,1,0.0260000000000002,1,0,1
1185,8,0.00200000000000022,1,0.0260000000000002,1,0,1
1185,9,0.00200000000000022,1,0.0249999999999999,1,0.001,1
1185,10,0.00200000000000022,1,0.0259999999999998,1,0,1
1185,11,0.00200000000000022,1,0.0259999999999998,1,0,1
1185,12,0.00100000000000033,1,0.0249999999999999,1,0,1
1185,13,0.00199999999999978,1,0.0249999999999999,1,0,1
1185,14,0.00199999999999978,1,0.0270000000000001,1,0,1
1185,15,0.00300000000000011,1,0.0269999999999997,1,0,1
1185,16,0.00099999999999989,1,0.0249999999999999,1,0.001,1
1185,17,0.00100000000000033,1,0.0269999999999997,1,0,1
1185,18,0.00200000000000022,1,0.0249999999999999,1,0,1
1185,19,0.00200000000000022,1,0.0260000000000002,1,0,1
1185,20,0.00199999999999978,1,0.0249999999999995,1,0,1
1371,1,0.00399999999999956,1,0.0359999999999996,1,0,1
1371,2,0.00199999999999978,1,0.0330000000000004,1,0,1
1371,3,0.00199999999999978,1,0.0339999999999998,1,0,1
1371,4,0.00199999999999978,1,0.0339999999999998,1,0.001,1
1371,5,0.00199999999999978,1,0.0369999999999999,1,0,1
1371,6,0.00199999999999978,1,0.0350000000000001,1,0,1
1371,7,0.00300000000000011,1,0.0369999999999999,1,0,1
1371,8,0.00199999999999978,1,0.0369999999999999,1,0,1
1371,9,0.00199999999999978,1,0.0350000000000001,1,0,1
1371,10,0.00300000000000011,1,0.0349999999999993,1,0,1
1371,11,0.00199999999999978,1,0.0350000000000001,1,0,1
1371,12,0.00300000000000011,1,0.0360000000000005,1,0,1
1371,13,0.00200000000000067,1,0.0360000000000005,1,0,1
1371,14,0.00300000000000011,1,0.0360000000000005,1,0,1
1371,15,0.00200000000000067,1,0.0350000000000001,1,0,1
1371,16,0.00199999999999978,1,0.0360000000000005,1,0,1
1371,17,0.00199999999999978,1,0.0350000000000001,1,0,1
1371,18,0.00300000000000011,1,0.0340000000000007,1,0,1
1371,19,0.00300000000000011,1,0.0359999999999996,1,0,1
1371,20,0.00199999999999978,1,0.0339999999999998,1,0,1
1586,1,0.00300000000000011,1,0.0470000000000006,1,0,1
1586,2,0.00299999999999923,1,0.0460000000000003,1,0,1
