"n","rep","time"
1024,1,0.001
1024,2,0
1024,3,0
1024,4,0
1024,5,0.000999999999999973
1024,6,0
1024,7,0
1024,8,0
1024,9,0
1024,10,0
1024,11,0.001
1024,12,0
1024,13,0
1024,14,0
1024,15,0
1024,16,0
1024,17,0
1024,18,0
1024,19,0
1024,20,0
1185,1,0
1185,2,0
1185,3,0
1185,4,0
1185,5,0
1185,6,0
1185,7,0
1185,8,0
1185,9,0.001
1185,10,0
1185,11,0
1185,12,0
1185,13,0
1185,14,0
1185,15,0
1185,16,0.001
1185,17,0
1185,18,0
1185,19,0
1185,20,0
1371,1,0
1371,2,0
1371,3,0
1371,4,0.001
1371,5,0
1371,6,0
1371,7,0
1371,8,0
1371,9,0
1371,10,0
1371,11,0
1371,12,0
1371,13,0
1371,14,0
1371,15,0
1371,16,0
1371,17,0
1371,18,0
1371,19,0
1371,20,0
1586,1,0
1586,2,0
1586,3,0
1586,4,0
1586,5,0
1586,6,0
1586,7,0.001
1586,8,0
1586,9,0
1586,10,0
1586,11,0
1586,12,0
1586,13,0
1586,14,0
1586,15,0
1586,16,0
1586,17,0
1586,18,0
1586,19,0
1586,20,0
1836,1,0
1836,2,0
1836,3,0.001
1836,4,0
1836,5,0
1836,6,0.001
1836,7,0
1836,8,0
1836,9,0
1836,10,0
1836,11,0.001
1836,12,0.001
1836,13,0
1836,14,0
1836,15,0
1836,16,0
1836,17,0
1836,18,0
1836,19,0
1836,20,0.001
2124,1,0
2124,2,0.00100000000000011
2124,3,0
2124,4,0
2124,5,0.00100000000000011
2124,6,0
2124,7,0
2124,8,0
2124,9,0.00099999999999989
2124,10,0
2124,11,0
2124,12,0
2124,13,0
2124,14,0
2124,15,0.00100000000000011
2124,16,0
2124,17,0.00100000000000011
2124,18,0.00099999999999989
2124,19,0
2124,20,0
2458,1,0
2458,2,0
2458,3,0
2458,4,0
2458,5,0
2458,6,0
2458,7,0
2458,8,0
2458,9,0
2458,10,0
2458,11,0
2458,12,0.00100000000000011
2458,13,0
2458,14,0
2458,15,0.00099999999999989
2458,16,0.00099999999999989
2458,17,0.00099999999999989
2458,18,0
2458,19,0
2458,20,0.00100000000000011
2844,1,0.00100000000000011
2844,2,0
2844,3,0
2844,4,0.00099999999999989
2844,5,0.00099999999999989
2844,6,0
2844,7,0
2844,8,0
2844,9,0.00099999999999989
2844,10,0
2844,11,0
2844,12,0
2844,13,0
2844,14,0.00100000000000011
