"experiment","n","k","rep","method","time","detected"
"no_change",256,0,1,"PELT",0.001,1
"no_change",256,0,1,"SVP FOCuS",0.003,1
"no_change",323,0,1,"PELT",0.001,1
"no_change",323,0,1,"SVP FOCuS",0.004,1
"no_change",406,0,1,"PELT",0.001,1
"no_change",406,0,1,"SVP FOCuS",0.006,1
"no_change",512,0,1,"PELT",0.001,1
"no_change",512,0,1,"SVP FOCuS",0.00900000000000001,1
"no_change",645,0,1,"PELT",0.001,1
"no_change",645,0,1,"SVP FOCuS",0.016,1
"no_change",813,0,1,"PELT",0.00099999999999989,1
"no_change",813,0,1,"SVP FOCuS",0.024,1
"no_change",1024,0,1,"PELT",0.002,1
"no_change",1024,0,1,"SVP FOCuS",0.038,1
"no_change",1290,0,1,"PELT",0.002,1
"no_change",1290,0,1,"SVP FOCuS",0.0660000000000001,1
"no_change",1625,0,1,"PELT",0.00299999999999989,1
"no_change",1625,0,1,"SVP FOCuS",0.0999999999999999,1
"no_change",2048,0,1,"PELT",0.004,1
"no_change",2048,0,1,"SVP FOCuS",0.155,1
"no_change",256,0,2,"PELT",0.00099999999999989,1
"no_change",256,0,2,"SVP FOCuS",0.00299999999999989,1
"no_change",323,0,2,"PELT",0.00099999999999989,1
"no_change",323,0,2,"SVP FOCuS",0.00500000000000012,1
"no_change",406,0,2,"PELT",0.00099999999999989,1
"no_change",406,0,2,"SVP FOCuS",0.00700000000000012,1
"no_change",512,0,2,"PELT",0.00199999999999978,1
"no_change",512,0,2,"SVP FOCuS",0.0100000000000002,1
"no_change",645,0,2,"PELT",0.00200000000000022,1
"no_change",645,0,2,"SVP FOCuS",0.016,1
"no_change",813,0,2,"PELT",0.00200000000000022,1
"no_change",813,0,2,"SVP FOCuS",0.0260000000000002,1
"no_change",1024,0,2,"PELT",0.00100000000000033,1
"no_change",1024,0,2,"SVP FOCuS",0.0369999999999999,1
"no_change",1290,0,2,"PELT",0.00200000000000022,1
"no_change",1290,0,2,"SVP FOCuS",0.0619999999999998,1
"no_change",1625,0,2,"PELT",0.00300000000000011,1
"no_change",1625,0,2,"SVP FOCuS",0.0950000000000002,1
"no_change",2048,0,2,"PELT",0.004,1
"no_change",2048,0,2,"SVP FOCuS",0.155,1
"no_change",256,0,3,"PELT",0.00099999999999989,1
"no_change",256,0,3,"SVP FOCuS",0.00299999999999967,1
"no_change",323,0,3,"PELT",0.00099999999999989,1
"no_change",323,0,3,"SVP FOCuS",0.004,1
"no_change",406,0,3,"PELT",0.00099999999999989,1
"no_change",406,0,3,"SVP FOCuS",0.00600000000000023,1
"no_change",512,0,3,"PELT",0.00099999999999989,1
"no_change",512,0,3,"SVP FOCuS",0.0100000000000002,1
"no_change",645,0,3,"PELT",0.00199999999999978,1
"no_change",645,0,3,"SVP FOCuS",0.016,1
"no_change",813,0,3,"PELT",0.00099999999999989,1
"no_change",813,0,3,"SVP FOCuS",0.024,1
"no_change",1024,0,3,"PELT",0.00199999999999978,1
"no_change",1024,0,3,"SVP FOCuS",0.0369999999999999,1
"no_change",1290,0,3,"PELT",0.00200000000000022,1
"no_change",1290,0,3,"SVP FOCuS",0.065,1
"no_change",1625,0,3,"PELT",0.004,1
"no_change",1625,0,3,"SVP FOCuS",0.103,1
"no_change",2048,0,3,"PELT",0.004,1
"no_change",2048,0,3,"SVP FOCuS",0.154,1
"no_change",256,0,4,"PELT",0.00100000000000033,1
"no_change",256,0,4,"SVP FOCuS",0.00200000000000067,1
"no_change",323,0,4,"PELT",0.000999999999999446,1
"no_change",323,0,4,"SVP FOCuS",0.00400000000000045,1
"no_change",406,0,4,"PELT",0.00100000000000033,1
"no_change",406,0,4,"SVP FOCuS",0.00699999999999967,1
"no_change",512,0,4,"PELT",0.00199999999999978,1
"no_change",512,0,4,"SVP FOCuS",0.00899999999999945,1
"no_change",645,0,4,"PELT",0.000999999999999446,1
"no_change",645,0,4,"SVP FOCuS",0.0170000000000003,1
"no_change",813,0,4,"PELT",0.00100000000000033,1
"no_change",813,0,4,"SVP FOCuS",0.0280000000000005,1
"no_change",1024,0,4,"PELT",0.00200000000000067,1
"no_change",1024,0,4,"SVP FOCuS",0.04,1
"no_change",1290,0,4,"PELT",0.00200000000000067,1
"no_change",1290,0,4,"SVP FOCuS",0.0589999999999993,1
"no_change",1625,0,4,"PELT",0.00300000000000011,1
"no_change",1625,0,4,"SVP FOCuS",0.0969999999999995,1
"no_change",2048,0,4,"PELT",0.00499999999999989,1
"no_change",2048,0,4,"SVP FOCuS",0.156000000000001,1
"no_change",256,0,5,"PELT",0.000999999999999446,1
"no_change",256,0,5,"SVP FOCuS",0.00300000000000011,1
"no_change",323,0,5,"PELT",0.000999999999999446,1
"no_change",323,0,5,"SVP FOCuS",0.00600000000000023,1
"no_change",406,0,5,"PELT",0.00100000000000033,1
"no_change",406,0,5,"SVP FOCuS",0.00699999999999967,1
"no_change",512,0,5,"PELT",0.000999999999999446,1
"no_change",512,0,5,"SVP FOCuS",0.00999999999999979,1
"no_change",645,0,5,"PELT",0.000999999999999446,1
"no_change",645,0,5,"SVP FOCuS",0.016,1
"no_change",813,0,5,"PELT",0.00499999999999989,1
"no_change",813,0,5,"SVP FOCuS",0.024,1
"no_change",1024,0,5,"PELT",0.00199999999999978,1
"no_change",1024,0,5,"SVP FOCuS",0.0369999999999999,1
"no_change",1290,0,5,"PELT",0.00199999999999978,1
"no_change",1290,0,5,"SVP FOCuS",0.0620000000000003,1
"no_change",1625,0,5,"PELT",0.00300000000000011,1
"no_change",1625,0,5,"SVP FOCuS",0.0990000000000002,1
"no_change",2048,0,5,"PELT",0.00400000000000045,1
"no_change",2048,0,5,"SVP FOCuS",0.152,1
