"experiment","n","k","rep","penalty_svp","penalty_pelt","method","time","detected"
"vary_k",2000,0,1,30.4036098381683,15.2018049190842,"PELT",0.00499999999999989,1
"vary_k",2000,0,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.138,1
"vary_k",2000,1,1,30.4036098381683,15.2018049190842,"PELT",0.00199999999999978,2
"vary_k",2000,1,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0710000000000006,2
"vary_k",2000,2,1,30.4036098381683,15.2018049190842,"PELT",0.00199999999999978,3
"vary_k",2000,2,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.048,3
"vary_k",2000,3,1,30.4036098381683,15.2018049190842,"PELT",0.00199999999999978,4
"vary_k",2000,3,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.04,4
"vary_k",2000,4,1,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,5
"vary_k",2000,4,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0309999999999997,5
"vary_k",2000,5,1,30.4036098381683,15.2018049190842,"PELT",0.00100000000000033,6
"vary_k",2000,5,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0270000000000001,6
"vary_k",2000,6,1,30.4036098381683,15.2018049190842,"PELT",0.00199999999999978,7
"vary_k",2000,6,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.024,7
"vary_k",2000,7,1,30.4036098381683,15.2018049190842,"PELT",0.00100000000000033,8
"vary_k",2000,7,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0200000000000005,8
"vary_k",2000,8,1,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,9
"vary_k",2000,8,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0190000000000001,9
"vary_k",2000,9,1,30.4036098381683,15.2018049190842,"PELT",0.00400000000000045,10
"vary_k",2000,9,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0170000000000003,10
"vary_k",2000,10,1,30.4036098381683,15.2018049190842,"PELT",0.00100000000000033,11
"vary_k",2000,10,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.016,11
"vary_k",2000,11,1,30.4036098381683,15.2018049190842,"PELT",0.00100000000000033,12
"vary_k",2000,11,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0140000000000002,12
"vary_k",2000,12,1,30.4036098381683,15.2018049190842,"PELT",0.00199999999999889,13
"vary_k",2000,12,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0150000000000006,13
"vary_k",2000,13,1,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,14
"vary_k",2000,13,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0129999999999999,14
"vary_k",2000,14,1,30.4036098381683,15.2018049190842,"PELT",0.00199999999999889,15
"vary_k",2000,14,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0120000000000005,15
"vary_k",2000,15,1,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,16
"vary_k",2000,15,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0119999999999987,16
"vary_k",2000,16,1,30.4036098381683,15.2018049190842,"PELT",0,17
"vary_k",2000,16,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0109999999999992,17
"vary_k",2000,17,1,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,18
"vary_k",2000,17,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0100000000000016,18
"vary_k",2000,18,1,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,19
"vary_k",2000,18,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0100000000000016,19
"vary_k",2000,19,1,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,20
"vary_k",2000,19,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00999999999999979,20
"vary_k",2000,20,1,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,21
"vary_k",2000,20,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0100000000000016,21
"vary_k",2000,21,1,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,22
"vary_k",2000,21,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00999999999999979,22
"vary_k",2000,22,1,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,24
"vary_k",2000,22,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0100000000000016,23
"vary_k",2000,23,1,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,24
"vary_k",2000,23,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00999999999999979,24
"vary_k",2000,24,1,30.4036098381683,15.2018049190842,"PELT",0.00199999999999889,25
"vary_k",2000,24,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00900000000000034,25
"vary_k",2000,25,1,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,26
"vary_k",2000,25,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00900000000000034,26
"vary_k",2000,26,1,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,27
"vary_k",2000,26,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00899999999999856,27
"vary_k",2000,27,1,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,28
"vary_k",2000,27,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00899999999999856,28
"vary_k",2000,28,1,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,29
"vary_k",2000,28,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00900000000000034,29
"vary_k",2000,29,1,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,30
"vary_k",2000,29,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00799999999999912,30
"vary_k",2000,30,1,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,31
"vary_k",2000,30,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00799999999999912,31
"vary_k",2000,31,1,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,32
"vary_k",2000,31,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0100000000000016,32
"vary_k",2000,32,1,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,33
"vary_k",2000,32,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0080000000000009,33
"vary_k",2000,33,1,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,34
"vary_k",2000,33,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00699999999999967,34
"vary_k",2000,34,1,30.4036098381683,15.2018049190842,"PELT",0,35
"vary_k",2000,34,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0080000000000009,35
"vary_k",2000,35,1,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,36
"vary_k",2000,35,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00699999999999967,36
"vary_k",2000,36,1,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,37
"vary_k",2000,36,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00699999999999967,37
"vary_k",2000,37,1,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,38
"vary_k",2000,37,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00699999999999967,38
"vary_k",2000,38,1,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,39
"vary_k",2000,38,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00799999999999912,39
"vary_k",2000,39,1,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,40
"vary_k",2000,39,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00600000000000023,40
"vary_k",2000,40,1,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,42
"vary_k",2000,40,1,30.4036098381683,15.2018049190842,"SVP FOCuS",0.00699999999999967,41
"vary_k",2000,0,2,30.4036098381683,15.2018049190842,"PELT",0.00399999999999956,1
"vary_k",2000,0,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.15,1
"vary_k",2000,1,2,30.4036098381683,15.2018049190842,"PELT",0.00200000000000067,2
"vary_k",2000,1,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0789999999999988,2
"vary_k",2000,2,2,30.4036098381683,15.2018049190842,"PELT",0.00200000000000067,3
"vary_k",2000,2,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0499999999999989,3
"vary_k",2000,3,2,30.4036098381683,15.2018049190842,"PELT",0.00199999999999889,4
"vary_k",2000,3,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0389999999999997,4
"vary_k",2000,4,2,30.4036098381683,15.2018049190842,"PELT",0.00200000000000067,5
"vary_k",2000,4,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0299999999999994,5
"vary_k",2000,5,2,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,6
"vary_k",2000,5,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0259999999999998,6
"vary_k",2000,6,2,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,7
"vary_k",2000,6,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0230000000000015,7
"vary_k",2000,7,2,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,8
"vary_k",2000,7,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0200000000000014,8
"vary_k",2000,8,2,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,9
"vary_k",2000,8,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0190000000000001,9
"vary_k",2000,9,2,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,10
"vary_k",2000,9,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0169999999999995,10
"vary_k",2000,10,2,30.4036098381683,15.2018049190842,"PELT",0.00200000000000067,11
"vary_k",2000,10,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.016,11
"vary_k",2000,11,2,30.4036098381683,15.2018049190842,"PELT",0.00199999999999889,12
"vary_k",2000,11,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0169999999999995,12
"vary_k",2000,12,2,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,13
"vary_k",2000,12,2,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0140000000000011,13
"vary_k",2000,13,2,30.4036098381683,15.2018049190842,"PELT",0.000999999999999446,14
