"n","PELT_reference","SVP_reference_right","PELT_current","SVP_current_both","SVP_current_right","SVP_both_vs_reference_right_ratio","SVP_right_vs_reference_right_ratio"
1024,0.00294999999999987,0.00250000000000057,0.00164999999999998,0.0191,0.000149999999999999,7.63999999999826,0.0599999999999859
1185,0.00344999999999515,0.00295000000000129,0.00190000000000003,0.0257999999999999,1e-04,8.74576271186054,0.0338983050847309
1371,0.00215000000000032,0.00375000000000227,0.00239999999999996,0.0353000000000001,5e-05,9.41333333332764,0.0133333333333252
1586,0.00259999999999962,0.00420000000000158,0.00295000000000005,0.0462000000000001,5e-05,10.9999999999959,0.0119047619047574
1836,0.00340000000000202,0.00485000000000468,0.00385,0.0622499999999999,0.00025,12.8350515463793,0.0515463917525276
2124,0.00609999999999928,0.00534999999999996,0.00489999999999986,0.0853500000000001,0.000300000000000011,15.9532710280375,0.0560747663551426
2458,0.00745000000000147,0.00660000000000167,0.00675000000000017,0.11375,0.000249999999999994,17.2348484848441,0.0378787878787775
2844,0.00764999999999958,0.00790000000000077,0.00840000000000015,0.1552,4e-04,19.6455696202512,0.0506329113924001
3291,0.0100000000000009,0.00930000000000035,0.0106499999999995,0.2104,0.000649999999999973,22.6236559139776,0.069892473118274
3808,0.013300000000001,0.011050000000003,0.0138999999999987,0.283599999999999,0.000400000000000022,25.6651583710336,0.0361990950226165
4406,0.0176500000000004,0.0128499999999974,0.0183500000000002,0.38015,0.000600000000000022,29.5836575875546,0.0466926070039022
5098,0.0242499999999964,0.0156499999999952,0.0246499999999994,0.51565,0.000499999999999967,32.9488817891476,0.0319488817891452
5899,0.031750000000001,0.0187000000000012,0.0328500000000002,0.691699999999998,8e-04,36.9893048128318,0.0427807486630989
6826,0.0417000000000016,0.023250000000003,0.0434500000000014,0.9328,0.000800000000000022,40.1204301075216,0.0344086021505341
7899,0.0564000000000007,0.0271500000000003,0.0593000000000018,1.2679,0.000899999999999967,46.6998158379368,0.0331491712707166
9139,0.075450000000005,0.0322999999999993,0.0766499999999993,1.70885,0.00104999999999995,52.905572755419,0.0325077399380796
10575,0.101299999999996,0.0392499999999984,0.104450000000001,2.33615,0.00114999999999998,59.5197452229323,0.0292993630573256
12237,0.1327,0.0479000000000013,0.135249999999995,3.187,0.00139999999999998,66.5344467640901,0.0292275574112722
14159,0.180099999999999,0.0585000000000008,0.185149999999996,4.29925000000001,0.00149999999999995,73.4914529914521,0.0256410256410243
16384,0.241200000000003,0.0733999999999966,0.246449999999999,5.73945,0.00190000000000001,78.1941416893769,0.0258855585831076
