"n","PELT_mean","SVP_both_mean","SVP_right_mean"
1024,0.00164999999999998,0.0191,0.000149999999999999
1185,0.00190000000000003,0.0257999999999999,1e-04
1371,0.00239999999999996,0.0353000000000001,5e-05
1586,0.00295000000000005,0.0462000000000001,5e-05
1836,0.00385,0.0622499999999999,0.00025
2124,0.00489999999999986,0.0853500000000001,0.000300000000000011
2458,0.00675000000000017,0.11375,0.000249999999999994
2844,0.00840000000000015,0.1552,4e-04
3291,0.0106499999999995,0.2104,0.000649999999999973
3808,0.0138999999999987,0.283599999999999,0.000400000000000022
4406,0.0183500000000002,0.38015,0.000600000000000022
5098,0.0246499999999994,0.51565,0.000499999999999967
5899,0.0328500000000002,0.691699999999998,8e-04
6826,0.0434500000000014,0.9328,0.000800000000000022
7899,0.0593000000000018,1.2679,0.000899999999999967
9139,0.0766499999999993,1.70885,0.00104999999999995
10575,0.104450000000001,2.33615,0.00114999999999998
12237,0.135249999999995,3.187,0.00139999999999998
14159,0.185149999999996,4.29925000000001,0.00149999999999995
16384,0.246449999999999,5.73945,0.00190000000000001
