"constant","pattern","mean_F1","correct_number_rate","mean_segments"
3.5,"none",0.966507936507937,0.89952380952381,1.10047619047619
3.5,"rand1",0.751162276876563,0,5.22142857142857
3.5,"up",0.771122411901824,0.353809523809524,6.41857142857143
3.5,"updown",0.575321883609699,0.296190476190476,4.17047619047619
4,"none",0.976507936507936,0.92952380952381,1.07047619047619
4,"rand1",0.730347747490605,0,5.00428571428571
4,"up",0.758570058093167,0.304285714285714,6.18666666666667
4,"updown",0.523764982372125,0.228571428571429,3.64047619047619
4.25,"none",0.97968253968254,0.939047619047619,1.06095238095238
4.25,"rand1",0.71899161156304,0,4.89333333333333
4.25,"up",0.752460015474721,0.278095238095238,6.07809523809524
4.25,"updown",0.498848717264684,0.196666666666667,3.38761904761905
4.5,"none",0.982698412698413,0.948095238095238,1.05190476190476
4.5,"rand1",0.708254639540354,0,4.79333333333333
4.5,"up",0.746157463917968,0.25,5.96857142857143
4.5,"updown",0.477302088745366,0.17,3.17761904761905
4.75,"none",0.984761904761905,0.954285714285714,1.04571428571429
4.75,"rand1",0.696868353868354,0,4.68857142857143
4.75,"up",0.740029412464286,0.223809523809524,5.86142857142857
4.75,"updown",0.453870209311386,0.140952380952381,2.94809523809524
5,"none",0.986984126984127,0.960952380952381,1.03904761904762
5,"rand1",0.688242461242461,0,4.61190476190476
5,"up",0.732817080212038,0.198095238095238,5.75095238095238
5,"updown",0.432133418713251,0.114761904761905,2.74380952380952
5.5,"none",0.98984126984127,0.96952380952381,1.03047619047619
5.5,"rand1",0.667680890538033,0,4.4347619047619
5.5,"up",0.719323937966795,0.154285714285714,5.55380952380952
5.5,"updown",0.390719738866798,0.0757142857142858,2.36666666666667
6,"none",0.992857142857143,0.978571428571428,1.02142857142857
6,"rand1",0.648839747554033,0,4.26809523809524
6,"up",0.706927172034315,0.114761904761905,5.37619047619048
6,"updown",0.352467197290727,0.0419047619047618,2.01
6.25,"none",0.993809523809524,0.981428571428572,1.01857142857143
6.25,"rand1",0.639246330389188,0,4.18714285714286
6.25,"up",0.700932761682762,0.0928571428571429,5.29
6.25,"updown",0.334777122348551,0.030952380952381,1.86047619047619
