"pattern","jump","rep","algorithm","Precision","Recall","F1","CorrectNumCP","LocalizationError","MSE","NumSegments"
"none",1,1,"PELT inflated",1,1,1,1,NA,0.0811673314422359,1
"none",1,1,"PELT AR1 approximate",0.5,1,0.666666666666667,0,NA,0.11045445701626,2
"none",1,1,"DeCAFS AR1",1,1,1,1,NA,0.0811673314422359,1
"none",1,1,"SVP AR1Focus",1,1,1,1,NA,0.0811673314422359,1
"none",1,1,"SVP AR1Focus multiscale",0.125,1,0.222222222222222,0,NA,0.218576503444845,8
"up",1,1,"PELT inflated",0.666666666666667,0.25,0.363636363636364,0,NA,0.720036130851496,3
"up",1,1,"PELT AR1 approximate",0.222222222222222,0.25,0.235294117647059,0,NA,0.937813920495994,9
"up",1,1,"DeCAFS AR1",0.4,0.25,0.307692307692308,0,NA,0.724802524743256,5
"up",1,1,"SVP AR1Focus",0.666666666666667,0.25,0.363636363636364,0,NA,0.720036130851496,3
"up",1,1,"SVP AR1Focus multiscale",0.235294117647059,0.5,0.32,0,NA,1.26803521298372,17
"updown",1,1,"PELT inflated",1,0.125,0.222222222222222,0,NA,0.250020656413678,1
"updown",1,1,"PELT AR1 approximate",0.4,0.25,0.307692307692308,0,NA,0.569676500857429,5
"updown",1,1,"DeCAFS AR1",0.666666666666667,0.25,0.363636363636364,0,NA,0.53340663606777,3
"updown",1,1,"SVP AR1Focus",0.5,0.125,0.2,0,NA,0.353035112742036,2
"updown",1,1,"SVP AR1Focus multiscale",0.25,0.25,0.25,1,123,0.726149214233864,8
"rand1",1,1,"PELT inflated",0.25,0.125,0.166666666666667,0,NA,0.82860736476161,4
"rand1",1,1,"PELT AR1 approximate",0.181818181818182,0.25,0.210526315789474,0,NA,1.21370392041467,11
"rand1",1,1,"DeCAFS AR1",0.25,0.125,0.166666666666667,0,NA,0.831373932567956,4
"rand1",1,1,"SVP AR1Focus",0.5,0.125,0.2,0,NA,0.556086051332951,2
"rand1",1,1,"SVP AR1Focus multiscale",0.230769230769231,0.375,0.285714285714286,0,NA,0.932167956181067,13
"none",1.1,1,"PELT inflated",1,1,1,1,NA,0.0032562030842174,1
"none",1.1,1,"PELT AR1 approximate",0.142857142857143,1,0.25,0,NA,0.448929208441988,7
"none",1.1,1,"DeCAFS AR1",1,1,1,1,NA,0.0032562030842174,1
"none",1.1,1,"SVP AR1Focus",1,1,1,1,NA,0.0032562030842174,1
"none",1.1,1,"SVP AR1Focus multiscale",0.0588235294117647,1,0.111111111111111,0,NA,0.634113949050321,17
"up",1.1,1,"PELT inflated",1,0.375,0.545454545454545,0,NA,1.18480321424462,3
"up",1.1,1,"PELT AR1 approximate",0.5,0.25,0.333333333333333,0,NA,0.879742384463126,4
"up",1.1,1,"DeCAFS AR1",0.5,0.25,0.333333333333333,0,NA,0.879742384463126,4
"up",1.1,1,"SVP AR1Focus",1,0.375,0.545454545454545,0,NA,1.18480321424462,3
"up",1.1,1,"SVP AR1Focus multiscale",0.181818181818182,0.25,0.210526315789474,0,NA,0.973656206528562,11
"updown",1.1,1,"PELT inflated",1,0.125,0.222222222222222,0,NA,0.312593800137703,1
"updown",1.1,1,"PELT AR1 approximate",0.25,0.25,0.25,1,144,0.69370882631963,8
"updown",1.1,1,"DeCAFS AR1",1,0.125,0.222222222222222,0,NA,0.312593800137703,1
"updown",1.1,1,"SVP AR1Focus",1,0.125,0.222222222222222,0,NA,0.312593800137703,1
"updown",1.1,1,"SVP AR1Focus multiscale",0.133333333333333,0.25,0.173913043478261,0,NA,0.845483921608959,15
"rand1",1.1,1,"PELT inflated",1,0.125,0.222222222222222,0,NA,0.712319291324841,1
"rand1",1.1,1,"PELT AR1 approximate",0.142857142857143,0.125,0.133333333333333,0,NA,1.01316332306525,7
"rand1",1.1,1,"DeCAFS AR1",1,0.125,0.222222222222222,0,NA,0.712319291324841,1
"rand1",1.1,1,"SVP AR1Focus",1,0.125,0.222222222222222,0,NA,0.712319291324841,1
"rand1",1.1,1,"SVP AR1Focus multiscale",0.222222222222222,0.25,0.235294117647059,0,NA,0.949644614075316,9
"none",1.2,1,"PELT inflated",1,1,1,1,NA,0.000773781235836231,1
"none",1.2,1,"PELT AR1 approximate",0.333333333333333,1,0.5,0,NA,0.232774740808269,3
"none",1.2,1,"DeCAFS AR1",1,1,1,1,NA,0.000773781235836231,1
"none",1.2,1,"SVP AR1Focus",1,1,1,1,NA,0.000773781235836231,1
"none",1.2,1,"SVP AR1Focus multiscale",0.0833333333333333,1,0.153846153846154,0,NA,0.6808543327798,12
"up",1.2,1,"PELT inflated",0.5,0.25,0.333333333333333,0,NA,0.878989728577435,4
"up",1.2,1,"PELT AR1 approximate",0.416666666666667,0.625,0.5,0,NA,0.712794243529415,12
"up",1.2,1,"DeCAFS AR1",0.333333333333333,0.25,0.285714285714286,0,NA,0.741807669802192,6
"up",1.2,1,"SVP AR1Focus",0.5,0.25,0.333333333333333,0,NA,0.878989728577435,4
"up",1.2,1,"SVP AR1Focus multiscale",0.235294117647059,0.5,0.32,0,NA,1.02234647281252,17
"updown",1.2,1,"PELT inflated",1,0.125,0.222222222222222,0,NA,0.367056893136444,1
"updown",1.2,1,"PELT AR1 approximate",0.6,0.375,0.461538461538462,0,NA,0.311055166765702,5
"updown",1.2,1,"DeCAFS AR1",1,0.125,0.222222222222222,0,NA,0.367056893136444,1
"updown",1.2,1,"SVP AR1Focus",1,0.125,0.222222222222222,0,NA,0.367056893136444,1
"updown",1.2,1,"SVP AR1Focus multiscale",0.153846153846154,0.25,0.19047619047619,0,NA,0.565951132031636,13
"rand1",1.2,1,"PELT inflated",0.4,0.25,0.307692307692308,0,NA,1.5853948762796,5
"rand1",1.2,1,"PELT AR1 approximate",0.25,0.25,0.25,1,208,1.60136108886504,8
"rand1",1.2,1,"DeCAFS AR1",0.4,0.25,0.307692307692308,0,NA,1.55586947949705,5
"rand1",1.2,1,"SVP AR1Focus",0.666666666666667,0.25,0.363636363636364,0,NA,0.777712879449897,3
"rand1",1.2,1,"SVP AR1Focus multiscale",0.181818181818182,0.25,0.210526315789474,0,NA,1.23895427670142,11
"none",1.3,1,"PELT inflated",1,1,1,1,NA,0.0457811854063374,1
"none",1.3,1,"PELT AR1 approximate",0.333333333333333,1,0.5,0,NA,0.0830054411939672,3
"none",1.3,1,"DeCAFS AR1",1,1,1,1,NA,0.0457811854063374,1
"none",1.3,1,"SVP AR1Focus",1,1,1,1,NA,0.0457811854063374,1
"none",1.3,1,"SVP AR1Focus multiscale",0.0666666666666667,1,0.125,0,NA,0.536386686032336,15
"up",1.3,1,"PELT inflated",0.666666666666667,0.25,0.363636363636364,0,NA,1.26691214917474,3
"up",1.3,1,"PELT AR1 approximate",0.25,0.25,0.25,1,97,0.786668821456132,8
"up",1.3,1,"DeCAFS AR1",0.5,0.25,0.333333333333333,0,NA,0.987634843996274,4
"up",1.3,1,"SVP AR1Focus",0.666666666666667,0.25,0.363636363636364,0,NA,1.26691214917474,3
"up",1.3,1,"SVP AR1Focus multiscale",0.230769230769231,0.375,0.285714285714286,0,NA,0.694058212306725,13
"updown",1.3,1,"PELT inflated",1,0.125,0.222222222222222,0,NA,0.509393894665588,1
"updown",1.3,1,"PELT AR1 approximate",0.25,0.25,0.25,1,158,1.04816536246515,8
"updown",1.3,1,"DeCAFS AR1",1,0.125,0.222222222222222,0,NA,0.509393894665588,1
"updown",1.3,1,"SVP AR1Focus",1,0.125,0.222222222222222,0,NA,0.509393894665588,1
"updown",1.3,1,"SVP AR1Focus multiscale",0.3,0.375,0.333333333333333,0,NA,0.797029467938316,10
"rand1",1.3,1,"PELT inflated",0.5,0.375,0.428571428571429,0,NA,0.874020462462942,6
"rand1",1.3,1,"PELT AR1 approximate",0.75,0.75,0.75,1,44,1.14443959872645,8
"rand1",1.3,1,"DeCAFS AR1",1,0.375,0.545454545454545,0,NA,0.76095859448991,3
"rand1",1.3,1,"SVP AR1Focus",1,0.125,0.222222222222222,0,NA,0.990885677021586,1
"rand1",1.3,1,"SVP AR1Focus multiscale",0.230769230769231,0.375,0.285714285714286,0,NA,1.54695120968765,13
"none",1.4,1,"PELT inflated",1,1,1,1,NA,0.0898017814178994,1
"none",1.4,1,"PELT AR1 approximate",0.0769230769230769,1,0.142857142857143,0,NA,1.40984233095779,13
"none",1.4,1,"DeCAFS AR1",1,1,1,1,NA,0.0898017814178994,1
"none",1.4,1,"SVP AR1Focus",1,1,1,1,NA,0.0898017814178994,1
"none",1.4,1,"SVP AR1Focus multiscale",0.0588235294117647,1,0.111111111111111,0,NA,1.29772103146273,17
"up",1.4,1,"PELT inflated",1,0.625,0.769230769230769,0,NA,0.569998624720751,5
"up",1.4,1,"PELT AR1 approximate",0.222222222222222,0.25,0.235294117647059,0,NA,0.759793213135406,9
"up",1.4,1,"DeCAFS AR1",0.6,0.375,0.461538461538462,0,NA,0.771778546158143,5
"up",1.4,1,"SVP AR1Focus",1,0.375,0.545454545454545,0,NA,1.20287994352177,3
"up",1.4,1,"SVP AR1Focus multiscale",0.416666666666667,0.625,0.5,0,NA,0.742889547594942,12
"updown",1.4,1,"PELT inflated",1,0.125,0.222222222222222,0,NA,0.537129088880662,1
"updown",1.4,1,"PELT AR1 approximate",0.272727272727273,0.375,0.315789473684211,0,NA,0.672975945623361,11
"updown",1.4,1,"DeCAFS AR1",1,0.25,0.4,0,NA,0.481699597525947,2
"updown",1.4,1,"SVP AR1Focus",0.5,0.125,0.2,0,NA,0.514555607547989,2
"updown",1.4,1,"SVP AR1Focus multiscale",0.25,0.375,0.3,0,NA,0.692092706379847,12
"rand1",1.4,1,"PELT inflated",1,0.5,0.666666666666667,0,NA,0.995104040482113,4
"rand1",1.4,1,"PELT AR1 approximate",0.75,0.75,0.75,1,78,0.69288438506061,8
"rand1",1.4,1,"DeCAFS AR1",1,0.625,0.769230769230769,0,NA,0.567638261171553,5
"rand1",1.4,1,"SVP AR1Focus",1,0.375,0.545454545454545,0,NA,0.902399156842706,3
"rand1",1.4,1,"SVP AR1Focus multiscale",0.384615384615385,0.625,0.476190476190476,0,NA,0.706912727184033,13
"none",1.5,1,"PELT inflated",1,1,1,1,NA,0.159040523695943,1
"none",1.5,1,"PELT AR1 approximate",0.166666666666667,1,0.285714285714286,0,NA,0.672041577346884,6
"none",1.5,1,"DeCAFS AR1",1,1,1,1,NA,0.159040523695943,1
"none",1.5,1,"SVP AR1Focus",1,1,1,1,NA,0.159040523695943,1
"none",1.5,1,"SVP AR1Focus multiscale",0.0769230769230769,1,0.142857142857143,0,NA,0.873905523200962,13
"up",1.5,1,"PELT inflated",0.75,0.375,0.5,0,NA,1.06998912791009,4
"up",1.5,1,"PELT AR1 approximate",0.75,0.75,0.75,1,79,0.936542683945859,8
"up",1.5,1,"DeCAFS AR1",0.8,0.5,0.615384615384615,0,NA,0.972489468079718,5
"up",1.5,1,"SVP AR1Focus",0.75,0.375,0.5,0,NA,1.06998912791009,4
"up",1.5,1,"SVP AR1Focus multiscale",0.545454545454545,0.75,0.631578947368421,0,NA,0.720749152480053,11
"updown",1.5,1,"PELT inflated",0.5,0.125,0.2,0,NA,0.718482939006416,2
"updown",1.5,1,"PELT AR1 approximate",0.333333333333333,0.25,0.285714285714286,0,NA,0.7600636170934,6
"updown",1.5,1,"DeCAFS AR1",0.5,0.125,0.2,0,NA,0.718482939006416,2
"updown",1.5,1,"SVP AR1Focus",0.5,0.125,0.2,0,NA,0.718482939006416,2
"updown",1.5,1,"SVP AR1Focus multiscale",0.444444444444444,0.5,0.470588235294118,0,NA,0.687568774380982,9
