"method","candidate","null_f1","null_f1_lower","null_f1_upper","recovered_one_segment","mean_segments","reps","n","rho","tolerance","stage","target_f1","target_difference","selected","calibration_reps","validation_reps","calibration_seed","validation_seed","target_nominal","seed"
"DeCAFS AR1",1,0.008,0.0040591958188061,0.0157063345309801,8,7.798,1000,600,0.8,5,"calibration",0.995,-0.987,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",1.25,0.196,0.17257900508841,0.221747664070808,196,3.523,1000,600,0.8,5,"calibration",0.995,-0.799,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",1.5,0.587,0.556206675962838,0.617127468060675,587,1.9,1000,600,0.8,5,"calibration",0.995,-0.408,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",1.75,0.809,0.783471995571422,0.832163067684505,809,1.32,1000,600,0.8,5,"calibration",0.995,-0.186,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",2,0.927,0.909190974465749,0.941540973787587,927,1.101,1000,600,0.8,5,"calibration",0.995,-0.0679999999999999,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",2.25,0.969,0.956334503987708,0.978075996552841,969,1.037,1000,600,0.8,5,"calibration",0.995,-0.026,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",2.5,0.986,0.976637965882464,0.991642424869576,986,1.014,1000,600,0.8,5,"calibration",0.995,-0.00900000000000001,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",2.75,0.995,0.988349044626625,0.997862464472676,995,1.005,1000,600,0.8,5,"calibration",0.995,0,TRUE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",3,0.996,0.989760443722738,0.998443411859592,996,1.004,1000,600,0.8,5,"calibration",0.995,0.001,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",3.25,0.998,0.992737192136508,0.999451356411879,998,1.002,1000,600,0.8,5,"calibration",0.995,0.003,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",3.5,0.998,0.992737192136508,0.999451356411879,998,1.002,1000,600,0.8,5,"calibration",0.995,0.003,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",3.75,0.998,0.992737192136508,0.999451356411879,998,1.002,1000,600,0.8,5,"calibration",0.995,0.003,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",4,0.999,0.994357441402042,0.999823453629374,999,1.001,1000,600,0.8,5,"calibration",0.995,0.004,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",4.25,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",4.5,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",4.75,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",5,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
"DeCAFS AR1",5.25,1,0.996173241514445,1,1000,1,1000,600,0.8,5,"calibration",0.995,0.005,FALSE,1000,1000,930000,940000,0.99,NA
