"configuration","pattern","before_mean_F1","before_mean_precision","before_mean_recall","before_correct_number_probability","before_mean_segments","before_mean_MSE","after_mean_F1","after_mean_precision","after_mean_recall","after_correct_number_probability","after_mean_segments","after_mean_MSE","old_constant","new_constant","delta_F1","delta_correct_number","segment_ratio","flag_material"
"PELT","none",0.987,0.987,0.987,0.987,1.0145,0.00124292553682877,0.987,0.987,0.987,0.987,1.0145,0.00124292553682877,NA,NA,0,0,1,FALSE
"PELT","rand1",0.591225102675103,0.657134523809524,0.546785714285714,0.305,6.0895,0.0297164560179851,0.591225102675103,0.657134523809524,0.546785714285714,0.305,6.0895,0.0297164560179851,NA,NA,0,0,1,FALSE
"PELT","up",0.565095726495726,0.5783875,0.559428571428571,0.66,7.0015,0.0323283292339555,0.565095726495726,0.5783875,0.559428571428571,0.66,7.0015,0.0323283292339555,NA,NA,0,0,1,FALSE
"PELT","updown",0.544679612707554,0.552040079365079,0.542857142857143,0.6815,6.351,0.0308322972451677,0.544679612707554,0.552040079365079,0.542857142857143,0.6815,6.351,0.0308322972451677,NA,NA,0,0,1,FALSE
"both calibrated","none",0.9525,0.9525,0.9525,0.9525,1.051,0.0012120581693061,0.9825,0.9825,0.9825,0.9825,1.018,0.00110133472995625,1.8,1.987,0.0300000000000001,0.0300000000000001,0.9686013320647,TRUE
"both calibrated","rand1",0.576515515040515,0.65967380952381,0.519571428571429,0.1095,5.72,0.0350675625985788,0.575284124209124,0.670265476190476,0.511857142857143,0.0669999999999999,5.5235,0.036922819811535,1.8,1.987,-0.0012313908313909,-0.0424999999999999,0.965646853146853,TRUE
"both calibrated","up",0.541556386668887,0.563553968253968,0.531357142857143,0.5865,6.5975,0.0416634795320264,0.537713966588967,0.563816666666667,0.525357142857143,0.5695,6.4745,0.0452764653590113,1.8,1.987,-0.00384242007992019,-0.0169999999999998,0.981356574460023,FALSE
"both calibrated","updown",0.519545102120102,0.537150793650794,0.513142857142857,0.5875,6.0935,0.0366314126201741,0.50527983960484,0.522301984126984,0.498714285714286,0.573,5.91,0.0394027818762566,1.8,1.987,-0.0142652625152626,-0.0145000000000001,0.96988594403873,FALSE
"right c=2","none",0.9995,0.9995,0.9995,0.9995,1.0005,0.00101127467191551,0.9995,0.9995,0.9995,0.9995,1.0005,0.00101127467191551,2,2,0,0,1,FALSE
"right c=2","rand1",0.555328499278499,0.667054761904762,0.483071428571429,0.0155,5.143,0.0418013505365206,0.555328499278499,0.667054761904762,0.483071428571429,0.0155,5.143,0.0418013505365206,2,2,0,0,1,FALSE
"right c=2","up",0.525633358308358,0.55623869047619,0.511,0.5345,6.314,0.0515939716073851,0.525633358308358,0.55623869047619,0.511,0.5345,6.314,0.0515939716073851,2,2,0,0,1,FALSE
"right c=2","updown",0.473465176490176,0.489192857142857,0.4675,0.534,5.41,0.0456024366375715,0.473465176490176,0.489192857142857,0.4675,0.534,5.41,0.0456024366375715,2,2,0,0,1,FALSE
"right calibrated","none",0.9635,0.9635,0.9635,0.9635,1.0385,0.00120574063873788,0.983,0.983,0.983,0.983,1.0175,0.00109301643481073,1.5,1.642,0.0194999999999999,0.0194999999999999,0.979778526721233,FALSE
"right calibrated","rand1",0.562797702297702,0.651352976190476,0.503357142857143,0.0940000000000003,5.6025,0.036018863221386,0.561515426240426,0.656746428571429,0.4975,0.0650000000000001,5.4355,0.03778936857297,1.5,1.642,-0.00128227605727615,-0.0290000000000001,0.970191878625614,FALSE
"right calibrated","up",0.542559337884338,0.56316130952381,0.532571428571429,0.5985,6.6225,0.040480039500637,0.535589196914197,0.558757738095238,0.524428571428571,0.5815,6.5315,0.043543065418407,1.5,1.642,-0.00697014097014093,-0.0170000000000001,0.986258965647414,FALSE
"right calibrated","updown",0.508107711732712,0.521995833333333,0.502785714285714,0.5895,5.9185,0.0371536556002523,0.497683513708514,0.512442857142857,0.492214285714286,0.576,5.7485,0.0393853912788228,1.5,1.642,-0.010424198024198,-0.0135,0.97127650587142,FALSE
