"stage","configuration","pattern","mean_F1","mean_precision","mean_recall","correct_number_probability","mean_segments","mean_MSE"
"historical stored score","PELT","none",0.995416666666667,0.99325,1,0.987,1.0145,0.00124292553682877
"historical stored score","PELT","rand1",0.657657026062173,0.795415277777778,0.6034375,0.305,6.0895,0.0297164560179851
"historical stored score","PELT","up",0.629428585385203,0.6651625,0.6145,0.66,7.0015,0.0323283292339555
"historical stored score","PELT","updown",0.62331546692042,0.782916378066378,0.6,0.6815,6.351,0.0308322972451677
"historical stored score","both calibrated","none",0.983616666666667,0.975708333333333,1,0.9525,1.051,0.0012120581693061
"historical stored score","both calibrated","rand1",0.646872264500206,0.801038492063492,0.579625,0.1095,5.72,0.0350675625985788
"historical stored score","both calibrated","up",0.61270122247034,0.66681626984127,0.5899375,0.5865,6.5975,0.0416634795320264
"historical stored score","both calibrated","updown",0.602731635602959,0.756215277777778,0.574,0.5875,6.0935,0.0366314126201741
"historical stored score","right c=2","none",0.999833333333333,0.99975,1,0.9995,1.0005,0.00101127467191551
"historical stored score","right c=2","rand1",0.633286315073815,0.845483928571429,0.5476875,0.0155,5.143,0.0418013505365206
"historical stored score","right c=2","up",0.601261731813938,0.669161706349206,0.572125,0.5345,6.314,0.0515939716073851
"historical stored score","right c=2","updown",0.572155352245793,0.800861706349206,0.5340625,0.534,5.41,0.0456024366375715
"historical stored score","right calibrated","none",0.9875,0.981416666666667,1,0.9635,1.0385,0.00120574063873788
"historical stored score","right calibrated","rand1",0.635803015448604,0.795985714285714,0.5654375,0.0940000000000003,5.6025,0.036018863221386
"historical stored score","right calibrated","up",0.613254143405614,0.66468253968254,0.591,0.5985,6.6225,0.040480039500637
"historical stored score","right calibrated","updown",0.595497983634013,0.767835912698413,0.5649375,0.5895,5.9185,0.0371536556002523
"historical fits, corrected score","PELT","none",0.987,0.987,0.987,0.987,1.0145,0.00124292553682877
"historical fits, corrected score","PELT","rand1",0.591225102675103,0.657134523809524,0.546785714285714,0.305,6.0895,0.0297164560179851
"historical fits, corrected score","PELT","up",0.565095726495726,0.5783875,0.559428571428571,0.66,7.0015,0.0323283292339555
"historical fits, corrected score","PELT","updown",0.544679612707554,0.552040079365079,0.542857142857143,0.6815,6.351,0.0308322972451677
"historical fits, corrected score","both calibrated","none",0.9525,0.9525,0.9525,0.9525,1.051,0.0012120581693061
"historical fits, corrected score","both calibrated","rand1",0.576515515040515,0.65967380952381,0.519571428571429,0.1095,5.72,0.0350675625985788
"historical fits, corrected score","both calibrated","up",0.541556386668887,0.563553968253968,0.531357142857143,0.5865,6.5975,0.0416634795320264
"historical fits, corrected score","both calibrated","updown",0.519545102120102,0.537150793650794,0.513142857142857,0.5875,6.0935,0.0366314126201741
"historical fits, corrected score","right c=2","none",0.9995,0.9995,0.9995,0.9995,1.0005,0.00101127467191551
"historical fits, corrected score","right c=2","rand1",0.555328499278499,0.667054761904762,0.483071428571429,0.0155,5.143,0.0418013505365206
"historical fits, corrected score","right c=2","up",0.525633358308358,0.55623869047619,0.511,0.5345,6.314,0.0515939716073851
"historical fits, corrected score","right c=2","updown",0.473465176490176,0.489192857142857,0.4675,0.534,5.41,0.0456024366375715
"historical fits, corrected score","right calibrated","none",0.9635,0.9635,0.9635,0.9635,1.0385,0.00120574063873788
"historical fits, corrected score","right calibrated","rand1",0.562797702297702,0.651352976190476,0.503357142857143,0.0940000000000003,5.6025,0.036018863221386
"historical fits, corrected score","right calibrated","up",0.542559337884338,0.56316130952381,0.532571428571429,0.5985,6.6225,0.040480039500637
"historical fits, corrected score","right calibrated","updown",0.508107711732712,0.521995833333333,0.502785714285714,0.5895,5.9185,0.0371536556002523
"refreshed calibration and corrected score","PELT","none",0.987,0.987,0.987,0.987,1.0145,0.00124292553682877
"refreshed calibration and corrected score","PELT","rand1",0.591225102675103,0.657134523809524,0.546785714285714,0.305,6.0895,0.0297164560179851
"refreshed calibration and corrected score","PELT","up",0.565095726495726,0.5783875,0.559428571428571,0.66,7.0015,0.0323283292339555
"refreshed calibration and corrected score","PELT","updown",0.544679612707554,0.552040079365079,0.542857142857143,0.6815,6.351,0.0308322972451677
"refreshed calibration and corrected score","both calibrated","none",0.9825,0.9825,0.9825,0.9825,1.018,0.00110133472995625
"refreshed calibration and corrected score","both calibrated","rand1",0.575284124209124,0.670265476190476,0.511857142857143,0.0669999999999999,5.5235,0.036922819811535
"refreshed calibration and corrected score","both calibrated","up",0.537713966588967,0.563816666666667,0.525357142857143,0.5695,6.4745,0.0452764653590113
"refreshed calibration and corrected score","both calibrated","updown",0.50527983960484,0.522301984126984,0.498714285714286,0.573,5.91,0.0394027818762566
"refreshed calibration and corrected score","right c=2","none",0.9995,0.9995,0.9995,0.9995,1.0005,0.00101127467191551
"refreshed calibration and corrected score","right c=2","rand1",0.555328499278499,0.667054761904762,0.483071428571429,0.0155,5.143,0.0418013505365206
"refreshed calibration and corrected score","right c=2","up",0.525633358308358,0.55623869047619,0.511,0.5345,6.314,0.0515939716073851
"refreshed calibration and corrected score","right c=2","updown",0.473465176490176,0.489192857142857,0.4675,0.534,5.41,0.0456024366375715
"refreshed calibration and corrected score","right calibrated","none",0.983,0.983,0.983,0.983,1.0175,0.00109301643481073
"refreshed calibration and corrected score","right calibrated","rand1",0.561515426240426,0.656746428571429,0.4975,0.0650000000000001,5.4355,0.03778936857297
"refreshed calibration and corrected score","right calibrated","up",0.535589196914197,0.558757738095238,0.524428571428571,0.5815,6.5315,0.043543065418407
"refreshed calibration and corrected score","right calibrated","updown",0.497683513708514,0.512442857142857,0.492214285714286,0.576,5.7485,0.0393853912788228
