"pattern","jump","rep","algorithm","Precision","Recall","F1","CorrectNumCP","LocalizationError","MSE","NumSegments"
"none",0.1,1,"SVP both c=1.9",1,1,1,1,NA,0.004271301932085,1
"none",0.1,1,"SVP both c=2",1,1,1,1,NA,0.004271301932085,1
"up",0.1,1,"SVP both c=1.9",0.5,0.125,0.2,0,NA,0.0378542035837558,2
"up",0.1,1,"SVP both c=2",0.5,0.125,0.2,0,NA,0.0378542035837558,2
"updown",0.1,1,"SVP both c=1.9",1,0.125,0.222222222222222,0,NA,0.00257291402625161,1
"updown",0.1,1,"SVP both c=2",1,0.125,0.222222222222222,0,NA,0.00257291402625161,1
"rand1",0.1,1,"SVP both c=1.9",1,0.125,0.222222222222222,0,NA,0.00600735399403354,1
"rand1",0.1,1,"SVP both c=2",1,0.125,0.222222222222222,0,NA,0.00600735399403354,1
"none",0.2,1,"SVP both c=1.9",1,1,1,1,NA,0.00165011546686708,1
"none",0.2,1,"SVP both c=2",1,1,1,1,NA,0.00165011546686708,1
"up",0.2,1,"SVP both c=1.9",0.333333333333333,0.125,0.181818181818182,0,NA,0.0403404896318359,3
"up",0.2,1,"SVP both c=2",0.333333333333333,0.125,0.181818181818182,0,NA,0.0403404896318359,3
"updown",0.2,1,"SVP both c=1.9",1,0.125,0.222222222222222,0,NA,0.0100605460562944,1
"updown",0.2,1,"SVP both c=2",1,0.125,0.222222222222222,0,NA,0.0100605460562944,1
"rand1",0.2,1,"SVP both c=1.9",1,0.125,0.222222222222222,0,NA,0.0232609473124236,1
"rand1",0.2,1,"SVP both c=2",1,0.125,0.222222222222222,0,NA,0.0232609473124236,1
"none",0.3,1,"SVP both c=1.9",1,1,1,1,NA,0.000170637891703299,1
"none",0.3,1,"SVP both c=2",1,1,1,1,NA,0.000170637891703299,1
"up",0.3,1,"SVP both c=1.9",0.25,0.125,0.166666666666667,0,NA,0.0501498568054447,4
"up",0.3,1,"SVP both c=2",0.25,0.125,0.166666666666667,0,NA,0.0501498568054447,4
"updown",0.3,1,"SVP both c=1.9",1,0.125,0.222222222222222,0,NA,0.0226925422685604,1
"updown",0.3,1,"SVP both c=2",1,0.125,0.222222222222222,0,NA,0.0226925422685604,1
"rand1",0.3,1,"SVP both c=1.9",0.5,0.25,0.333333333333333,0,NA,0.068517820806289,4
"rand1",0.3,1,"SVP both c=2",0.5,0.25,0.333333333333333,0,NA,0.068517820806289,4
"none",0.4,1,"SVP both c=1.9",1,1,1,1,NA,0.000535300708285632,1
"none",0.4,1,"SVP both c=2",1,1,1,1,NA,0.000535300708285632,1
"up",0.4,1,"SVP both c=1.9",0.25,0.125,0.166666666666667,0,NA,0.0600571434261999,4
"up",0.4,1,"SVP both c=2",0.25,0.125,0.166666666666667,0,NA,0.0600571434261999,4
"updown",0.4,1,"SVP both c=1.9",0.5,0.125,0.2,0,NA,0.0422781026004878,2
"updown",0.4,1,"SVP both c=2",1,0.125,0.222222222222222,0,NA,0.0449800578060646,1
"rand1",0.4,1,"SVP both c=1.9",0.6,0.375,0.461538461538462,0,NA,0.0352694970138052,5
"rand1",0.4,1,"SVP both c=2",0.25,0.125,0.166666666666667,0,NA,0.0521409987488435,4
"none",0.5,1,"SVP both c=1.9",1,1,1,1,NA,0.00111576526090892,1
"none",0.5,1,"SVP both c=2",1,1,1,1,NA,0.00111576526090892,1
"up",0.5,1,"SVP both c=1.9",0.25,0.125,0.166666666666667,0,NA,0.106215920319649,4
"up",0.5,1,"SVP both c=2",0.25,0.125,0.166666666666667,0,NA,0.106215920319649,4
"updown",0.5,1,"SVP both c=1.9",0.5,0.125,0.2,0,NA,0.0645551554632806,2
"updown",0.5,1,"SVP both c=2",0.5,0.125,0.2,0,NA,0.0645551554632806,2
"rand1",0.5,1,"SVP both c=1.9",0.5,0.25,0.333333333333333,0,NA,0.0778846283207321,4
"rand1",0.5,1,"SVP both c=2",0.5,0.25,0.333333333333333,0,NA,0.0775796386974368,4
"none",0.6,1,"SVP both c=1.9",1,1,1,1,NA,0.00898566391963234,1
"none",0.6,1,"SVP both c=2",1,1,1,1,NA,0.00898566391963234,1
"up",0.6,1,"SVP both c=1.9",0.333333333333333,0.25,0.285714285714286,0,NA,0.0726327383384124,6
"up",0.6,1,"SVP both c=2",0.2,0.125,0.153846153846154,0,NA,0.111381437551298,5
"updown",0.6,1,"SVP both c=1.9",0.6,0.375,0.461538461538462,0,NA,0.0692346559552736,5
"updown",0.6,1,"SVP both c=2",0.6,0.375,0.461538461538462,0,NA,0.0850074371823903,5
"rand1",0.6,1,"SVP both c=1.9",0.666666666666667,0.5,0.571428571428572,0,NA,0.0169170656089272,6
"rand1",0.6,1,"SVP both c=2",0.666666666666667,0.5,0.571428571428572,0,NA,0.0169170656089272,6
"none",0.7,1,"SVP both c=1.9",1,1,1,1,NA,0.000745395375705623,1
"none",0.7,1,"SVP both c=2",1,1,1,1,NA,0.000745395375705623,1
"up",0.7,1,"SVP both c=1.9",0.5,0.375,0.428571428571429,0,NA,0.0932760500462875,6
"up",0.7,1,"SVP both c=2",0.5,0.375,0.428571428571429,0,NA,0.0932760500462875,6
"updown",0.7,1,"SVP both c=1.9",0.5,0.25,0.333333333333333,0,NA,0.102693115102079,4
"updown",0.7,1,"SVP both c=2",0.333333333333333,0.125,0.181818181818182,0,NA,0.123585766310773,3
"rand1",0.7,1,"SVP both c=1.9",1,0.75,0.857142857142857,0,NA,0.0125631493292364,6
"rand1",0.7,1,"SVP both c=2",1,0.75,0.857142857142857,0,NA,0.0125631493292364,6
"none",0.8,1,"SVP both c=1.9",1,1,1,1,NA,3.04367596327789e-06,1
"none",0.8,1,"SVP both c=2",1,1,1,1,NA,3.04367596327789e-06,1
"up",0.8,1,"SVP both c=1.9",0.875,0.875,0.875,1,7,0.0206575413275512,8
"up",0.8,1,"SVP both c=2",0.875,0.875,0.875,1,7,0.0206575413275512,8
"updown",0.8,1,"SVP both c=1.9",0.714285714285714,0.625,0.666666666666667,0,NA,0.0547695783719118,7
"updown",0.8,1,"SVP both c=2",0.571428571428571,0.5,0.533333333333333,0,NA,0.0556869996100141,7
"rand1",0.8,1,"SVP both c=1.9",0.666666666666667,0.5,0.571428571428572,0,NA,0.0388758894451873,6
"rand1",0.8,1,"SVP both c=2",0.666666666666667,0.5,0.571428571428572,0,NA,0.0388758894451873,6
"none",0.9,1,"SVP both c=1.9",1,1,1,1,NA,0.00026713367972407,1
"none",0.9,1,"SVP both c=2",1,1,1,1,NA,0.00026713367972407,1
"up",0.9,1,"SVP both c=1.9",0.714285714285714,0.625,0.666666666666667,0,NA,0.0665365022031689,7
"up",0.9,1,"SVP both c=2",0.714285714285714,0.625,0.666666666666667,0,NA,0.0665365022031689,7
"updown",0.9,1,"SVP both c=1.9",0.571428571428571,0.5,0.533333333333333,0,NA,0.098009725220007,7
"updown",0.9,1,"SVP both c=2",0.571428571428571,0.5,0.533333333333333,0,NA,0.0967044805483197,7
"rand1",0.9,1,"SVP both c=1.9",0.714285714285714,0.625,0.666666666666667,0,NA,0.0270621846816226,7
"rand1",0.9,1,"SVP both c=2",0.833333333333333,0.625,0.714285714285714,0,NA,0.0278550836915071,6
"none",1,1,"SVP both c=1.9",1,1,1,1,NA,0.00586006692710178,1
"none",1,1,"SVP both c=2",1,1,1,1,NA,0.00586006692710178,1
"up",1,1,"SVP both c=1.9",0.625,0.625,0.625,1,7,0.023575691099454,8
"up",1,1,"SVP both c=2",0.571428571428571,0.5,0.533333333333333,0,NA,0.0942382783471497,7
"updown",1,1,"SVP both c=1.9",0.5,0.5,0.5,1,5,0.0248531331473709,8
"updown",1,1,"SVP both c=2",0.5,0.5,0.5,1,5,0.0248531331473709,8
"rand1",1,1,"SVP both c=1.9",1,0.75,0.857142857142857,0,NA,0.0204347352850628,6
"rand1",1,1,"SVP both c=2",1,0.75,0.857142857142857,0,NA,0.0204347352850628,6
"none",1.1,1,"SVP both c=1.9",1,1,1,1,NA,0.00148623429261898,1
"none",1.1,1,"SVP both c=2",1,1,1,1,NA,0.00148623429261898,1
"up",1.1,1,"SVP both c=1.9",0.714285714285714,0.625,0.666666666666667,0,NA,0.11664706540674,7
