"c","pattern","F1","segments"
0.8,"none",0.166376536130987,12.9133333333333
0.9,"none",0.303182778278367,7.77
1,"none",0.514051615051615,4.485
1.1,"none",0.700280423280423,2.71666666666667
1.2,"none",0.838738095238095,1.75833333333333
1.3,"none",0.920674603174603,1.335
1.4,"none",0.961833333333333,1.13666666666667
1.5,"none",0.979833333333333,1.06833333333333
1.6,"none",0.992333333333333,1.02666666666667
1.7,"none",0.996944444444444,1.01
1.8,"none",0.998888888888889,1.00333333333333
1.9,"none",0.999444444444444,1.00166666666667
2,"none",1,1
0.8,"rand1",0.389914761326764,17.0466666666667
0.9,"rand1",0.461713461084576,12.6566666666667
1,"rand1",0.520706544274464,9.97166666666667
1.1,"rand1",0.566067676431369,8.395
1.2,"rand1",0.594237855554032,7.445
1.3,"rand1",0.616980820220371,6.83
1.4,"rand1",0.627784991968816,6.40666666666667
1.5,"rand1",0.63379805683366,6.16166666666667
1.6,"rand1",0.635996111731406,5.96666666666667
1.7,"rand1",0.635305388239212,5.815
1.8,"rand1",0.636704767998886,5.70333333333333
1.9,"rand1",0.63374321974322,5.595
2,"rand1",0.633548974173974,5.49
