"pattern","jump","rep","algorithm","Precision","Recall","F1","NumSegments","MSE"
"none",0.1,1,"PELT",0.0113636363636364,1,0.0224719101123595,88,65.585178009627
"none",0.1,1,"SVP (Wilcoxon)",1,1,1,1,0.0102885640775671
"none",0.1,1,"SVP (MedianMood)",1,1,1,1,0.0102885640775671
"none",0.1,1,"rfpop",1,1,1,1,0.00250246463424464
"none",0.1,2,"PELT",0.0123456790123457,1,0.024390243902439,81,3.02703928253654
"none",0.1,2,"SVP (Wilcoxon)",1,1,1,1,0.00483149536185327
"none",0.1,2,"SVP (MedianMood)",1,1,1,1,0.00483149536185327
"none",0.1,2,"rfpop",1,1,1,1,0.00226463157230729
"none",0.1,3,"PELT",0.0126582278481013,1,0.025,79,3.48466154824731
"none",0.1,3,"SVP (Wilcoxon)",1,1,1,1,0.00525139584304084
"none",0.1,3,"SVP (MedianMood)",1,1,1,1,0.00525139584304084
"none",0.1,3,"rfpop",1,1,1,1,0.000767563102790768
"none",0.1,4,"PELT",0.0104166666666667,1,0.0206185567010309,96,4.85835266264141
"none",0.1,4,"SVP (Wilcoxon)",1,1,1,1,0.000461769011509829
"none",0.1,4,"SVP (MedianMood)",1,1,1,1,0.000461769011509829
"none",0.1,4,"rfpop",1,1,1,1,0.000585760963910066
"none",0.1,5,"PELT",0.00961538461538462,1,0.019047619047619,104,4.37620266458117
"none",0.1,5,"SVP (Wilcoxon)",1,1,1,1,8.44996325223372e-05
"none",0.1,5,"SVP (MedianMood)",1,1,1,1,8.44996325223372e-05
"none",0.1,5,"rfpop",1,1,1,1,0.00103927099029743
"none",0.1,6,"PELT",0.0123456790123457,1,0.024390243902439,81,5.12720377543872
"none",0.1,6,"SVP (Wilcoxon)",1,1,1,1,0.000186611192793169
"none",0.1,6,"SVP (MedianMood)",1,1,1,1,0.000186611192793169
"none",0.1,6,"rfpop",1,1,1,1,0.000815813520253087
"none",0.1,7,"PELT",0.0142857142857143,1,0.028169014084507,70,4.9394463769583
"none",0.1,7,"SVP (Wilcoxon)",1,1,1,1,0.000422979354573429
