"pattern","jump","rep","algorithm","Precision","Recall","F1","CorrectNumCP","LocalizationError","MSE","NumSegments"
"none",0.1,1,"PELT",0,0,0,0,NA,4.93068311138887,77
"none",0.1,1,"RFPOP",1,1,1,1,NA,0.00053585134866808,1
"none",0.1,1,"SVP MedianMood / right / alpha = 0.001",1,1,1,1,NA,0.0138740916485442,1
"none",0.1,1,"SVP Wilcoxon / right / c = 1.75",1,1,1,1,NA,0.0138740916485442,1
"up",0.1,1,"PELT",0.0357142857142857,0.428571428571429,0.0659340659340659,0,NA,6.5002686163488,85
"up",0.1,1,"RFPOP",0,0,0,0,NA,0.0523057213707397,2
"up",0.1,1,"SVP MedianMood / right / alpha = 0.001",0,0,0,0,NA,0.175635146070145,2
"up",0.1,1,"SVP Wilcoxon / right / c = 1.75",0.2,0.142857142857143,0.166666666666667,0,NA,0.151620937581692,6
"updown",0.1,1,"PELT",0,0,0,0,NA,6.19921692122547,91
"updown",0.1,1,"RFPOP",0,0,0,0,NA,0.00263547272680776,1
"updown",0.1,1,"SVP MedianMood / right / alpha = 0.001",0,0,0,0,NA,0.0101911971058072,1
"updown",0.1,1,"SVP Wilcoxon / right / c = 1.75",0,0,0,0,NA,0.0642658966422274,5
"rand1",0.1,1,"PELT",0.0266666666666667,0.285714285714286,0.048780487804878,0,NA,5.07084059374003,76
"rand1",0.1,1,"RFPOP",0,0,0,0,NA,0.00610077555828593,1
"rand1",0.1,1,"SVP MedianMood / right / alpha = 0.001",0,0,0,0,NA,0.00615948605254193,1
"rand1",0.1,1,"SVP Wilcoxon / right / c = 1.75",0,0,0,0,NA,0.033130195797026,5
"none",0.2,1,"PELT",0,0,0,0,NA,5.52183589134684,90
"none",0.2,1,"RFPOP",1,1,1,1,NA,0.00842765929514758,1
"none",0.2,1,"SVP MedianMood / right / alpha = 0.001",1,1,1,1,NA,0.0452420872570015,1
"none",0.2,1,"SVP Wilcoxon / right / c = 1.75",1,1,1,1,NA,0.0452420872570015,1
"up",0.2,1,"PELT",0.0289855072463768,0.285714285714286,0.0526315789473684,0,NA,5.0459832337957,70
"up",0.2,1,"RFPOP",0,0,0,0,NA,0.0685109905119188,2
"up",0.2,1,"SVP MedianMood / right / alpha = 0.001",0,0,0,0,NA,0.0826327109226788,2
"up",0.2,1,"SVP Wilcoxon / right / c = 1.75",0.2,0.142857142857143,0.166666666666667,0,NA,0.123763216156893,6
"updown",0.2,1,"PELT",0.0206185567010309,0.285714285714286,0.0384615384615385,0,NA,14.5165989025592,98
"updown",0.2,1,"RFPOP",0,0,0,0,NA,0.0100194485474083,1
"updown",0.2,1,"SVP MedianMood / right / alpha = 0.001",0,0,0,0,NA,0.0165586365814718,1
"updown",0.2,1,"SVP Wilcoxon / right / c = 1.75",0,0,0,0,NA,0.264474507238225,6
"rand1",0.2,1,"PELT",0.0138888888888889,0.142857142857143,0.0253164556962025,0,NA,3.67287653409175,73
