"experiment","n","k","rep","method","time","detected"
"vary_n",256,0,1,"SVP BIC",0,4
"vary_n",256,0,1,"SVP AR1",0.004,1
"vary_n",256,0,1,"SVP AR1 estimated rho",0.004,2
"vary_n",256,0,2,"SVP BIC",0.001,5
"vary_n",256,0,2,"SVP AR1",0,1
"vary_n",256,0,2,"SVP AR1 estimated rho",0,1
"vary_n",256,0,3,"SVP BIC",0.001,4
"vary_n",256,0,3,"SVP AR1",0,1
"vary_n",256,0,3,"SVP AR1 estimated rho",0,1
"vary_n",256,0,4,"SVP BIC",0.001,4
"vary_n",256,0,4,"SVP AR1",0,1
"vary_n",256,0,4,"SVP AR1 estimated rho",0,1
"vary_n",256,0,5,"SVP BIC",0.001,4
"vary_n",256,0,5,"SVP AR1",0,1
"vary_n",256,0,5,"SVP AR1 estimated rho",0.002,3
"vary_n",256,0,6,"SVP BIC",0,7
"vary_n",256,0,6,"SVP AR1",0,1
"vary_n",256,0,6,"SVP AR1 estimated rho",0,1
"vary_n",256,0,7,"SVP BIC",0.00099999999999989,4
"vary_n",256,0,7,"SVP AR1",0,1
"vary_n",256,0,7,"SVP AR1 estimated rho",0,1
"vary_n",256,0,8,"SVP BIC",0,7
"vary_n",256,0,8,"SVP AR1",0,1
"vary_n",256,0,8,"SVP AR1 estimated rho",0,1
"vary_n",256,0,9,"SVP BIC",0.00100000000000011,3
"vary_n",256,0,9,"SVP AR1",0,1
"vary_n",256,0,9,"SVP AR1 estimated rho",0,1
"vary_n",256,0,10,"SVP BIC",0.00100000000000011,3
"vary_n",256,0,10,"SVP AR1",0,1
"vary_n",256,0,10,"SVP AR1 estimated rho",0,1
"vary_n",351,0,1,"SVP BIC",0.00099999999999989,3
"vary_n",351,0,1,"SVP AR1",0,1
"vary_n",351,0,1,"SVP AR1 estimated rho",0,1
"vary_n",351,0,2,"SVP BIC",0,1
"vary_n",351,0,2,"SVP AR1",0,1
"vary_n",351,0,2,"SVP AR1 estimated rho",0,1
"vary_n",351,0,3,"SVP BIC",0.00100000000000011,5
"vary_n",351,0,3,"SVP AR1",0,1
"vary_n",351,0,3,"SVP AR1 estimated rho",0,1
"vary_n",351,0,4,"SVP BIC",0.002,3
"vary_n",351,0,4,"SVP AR1",0,1
"vary_n",351,0,4,"SVP AR1 estimated rho",0,1
"vary_n",351,0,5,"SVP BIC",0,5
"vary_n",351,0,5,"SVP AR1",0,1
"vary_n",351,0,5,"SVP AR1 estimated rho",0,1
"vary_n",351,0,6,"SVP BIC",0.00099999999999989,3
"vary_n",351,0,6,"SVP AR1",0,1
"vary_n",351,0,6,"SVP AR1 estimated rho",0,1
"vary_n",351,0,7,"SVP BIC",0.00099999999999989,6
"vary_n",351,0,7,"SVP AR1",0.00100000000000033,1
"vary_n",351,0,7,"SVP AR1 estimated rho",0,1
"vary_n",351,0,8,"SVP BIC",0.00099999999999989,6
"vary_n",351,0,8,"SVP AR1",0,1
"vary_n",351,0,8,"SVP AR1 estimated rho",0,1
"vary_n",351,0,9,"SVP BIC",0.00100000000000033,4
"vary_n",351,0,9,"SVP AR1",0,1
"vary_n",351,0,9,"SVP AR1 estimated rho",0.00600000000000023,2
"vary_n",351,0,10,"SVP BIC",0.00099999999999989,6
"vary_n",351,0,10,"SVP AR1",0,1
"vary_n",351,0,10,"SVP AR1 estimated rho",0,1
"vary_n",481,0,1,"SVP BIC",0.00099999999999989,5
"vary_n",481,0,1,"SVP AR1",0,1
"vary_n",481,0,1,"SVP AR1 estimated rho",0.0149999999999997,2
"vary_n",481,0,2,"SVP BIC",0.00100000000000033,6
"vary_n",481,0,2,"SVP AR1",0,1
"vary_n",481,0,2,"SVP AR1 estimated rho",0.00100000000000033,1
"vary_n",481,0,3,"SVP BIC",0.00099999999999989,5
"vary_n",481,0,3,"SVP AR1",0.00100000000000033,1
"vary_n",481,0,3,"SVP AR1 estimated rho",0,1
"vary_n",481,0,4,"SVP BIC",0.00200000000000022,9
"vary_n",481,0,4,"SVP AR1",0,1
"vary_n",481,0,4,"SVP AR1 estimated rho",0.012,2
"vary_n",481,0,5,"SVP BIC",0.00099999999999989,6
"vary_n",481,0,5,"SVP AR1",0,1
"vary_n",481,0,5,"SVP AR1 estimated rho",0,1
"vary_n",481,0,6,"SVP BIC",0.00099999999999989,6
"vary_n",481,0,6,"SVP AR1",0,1
"vary_n",481,0,6,"SVP AR1 estimated rho",0.00099999999999989,1
"vary_n",481,0,7,"SVP BIC",0.00099999999999989,10
"vary_n",481,0,7,"SVP AR1",0,1
"vary_n",481,0,7,"SVP AR1 estimated rho",0.00099999999999989,1
"vary_n",481,0,8,"SVP BIC",0.00099999999999989,7
"vary_n",481,0,8,"SVP AR1",0,1
"vary_n",481,0,8,"SVP AR1 estimated rho",0,1
"vary_n",481,0,9,"SVP BIC",0.00099999999999989,7
"vary_n",481,0,9,"SVP AR1",0,1
"vary_n",481,0,9,"SVP AR1 estimated rho",0,1
"vary_n",481,0,10,"SVP BIC",0.00099999999999989,4
"vary_n",481,0,10,"SVP AR1",0,1
"vary_n",481,0,10,"SVP AR1 estimated rho",0,1
"vary_n",659,0,1,"SVP BIC",0.00300000000000011,8
"vary_n",659,0,1,"SVP AR1",0,1
"vary_n",659,0,1,"SVP AR1 estimated rho",0.00099999999999989,1
"vary_n",659,0,2,"SVP BIC",0.00100000000000033,7
"vary_n",659,0,2,"SVP AR1",0,1
"vary_n",659,0,2,"SVP AR1 estimated rho",0.00100000000000033,1
"vary_n",659,0,3,"SVP BIC",0.00200000000000067,10
"vary_n",659,0,3,"SVP AR1",0,1
"vary_n",659,0,3,"SVP AR1 estimated rho",0,1
"vary_n",659,0,4,"SVP BIC",0.000999999999999446,15
"vary_n",659,0,4,"SVP AR1",0,1
"vary_n",659,0,4,"SVP AR1 estimated rho",0,1
"vary_n",659,0,5,"SVP BIC",0.00200000000000067,6
"vary_n",659,0,5,"SVP AR1",0,1
"vary_n",659,0,5,"SVP AR1 estimated rho",0.048,2
"vary_n",659,0,6,"SVP BIC",0.00300000000000011,8
"vary_n",659,0,6,"SVP AR1",0.00100000000000033,1
"vary_n",659,0,6,"SVP AR1 estimated rho",0.000999999999999446,1
"vary_n",659,0,7,"SVP BIC",0.00199999999999978,8
"vary_n",659,0,7,"SVP AR1",0,1
"vary_n",659,0,7,"SVP AR1 estimated rho",0.000999999999999446,1
"vary_n",659,0,8,"SVP BIC",0.00100000000000033,10
"vary_n",659,0,8,"SVP AR1",0,1
"vary_n",659,0,8,"SVP AR1 estimated rho",0.00100000000000033,1
"vary_n",659,0,9,"SVP BIC",0.00199999999999978,4
"vary_n",659,0,9,"SVP AR1",0,1
"vary_n",659,0,9,"SVP AR1 estimated rho",0,1
"vary_n",659,0,10,"SVP BIC",0.00300000000000011,5
"vary_n",659,0,10,"SVP AR1",0.00100000000000033,1
"vary_n",659,0,10,"SVP AR1 estimated rho",0,1
"vary_n",903,0,1,"SVP BIC",0.00199999999999978,17
"vary_n",903,0,1,"SVP AR1",0,1
"vary_n",903,0,1,"SVP AR1 estimated rho",0.000999999999999446,1
"vary_n",903,0,2,"SVP BIC",0.00400000000000045,8
"vary_n",903,0,2,"SVP AR1",0.00100000000000033,1
"vary_n",903,0,2,"SVP AR1 estimated rho",0,1
"vary_n",903,0,3,"SVP BIC",0.00199999999999978,11
"vary_n",903,0,3,"SVP AR1",0,1
"vary_n",903,0,3,"SVP AR1 estimated rho",0.000999999999999446,1
"vary_n",903,0,4,"SVP BIC",0.00300000000000011,7
"vary_n",903,0,4,"SVP AR1",0.000999999999999446,1
"vary_n",903,0,4,"SVP AR1 estimated rho",0,1
"vary_n",903,0,5,"SVP BIC",0.00199999999999978,16
"vary_n",903,0,5,"SVP AR1",0.000999999999999446,1
"vary_n",903,0,5,"SVP AR1 estimated rho",0.00100000000000033,1
"vary_n",903,0,6,"SVP BIC",0.00200000000000067,11
"vary_n",903,0,6,"SVP AR1",0.00100000000000033,1
"vary_n",903,0,6,"SVP AR1 estimated rho",0.00100000000000033,1
"vary_n",903,0,7,"SVP BIC",0.00300000000000011,9
"vary_n",903,0,7,"SVP AR1",0.00100000000000033,1
"vary_n",903,0,7,"SVP AR1 estimated rho",0.00100000000000033,1
"vary_n",903,0,8,"SVP BIC",0.00300000000000011,10
"vary_n",903,0,8,"SVP AR1",0.00100000000000033,1
"vary_n",903,0,8,"SVP AR1 estimated rho",0,1
"vary_n",903,0,9,"SVP BIC",0.00199999999999978,10
"vary_n",903,0,9,"SVP AR1",0.00100000000000033,1
"vary_n",903,0,9,"SVP AR1 estimated rho",0.000999999999999446,1
"vary_n",903,0,10,"SVP BIC",0.00200000000000067,9
"vary_n",903,0,10,"SVP AR1",0.00100000000000033,1
"vary_n",903,0,10,"SVP AR1 estimated rho",0.000999999999999446,1
"vary_n",1237,0,1,"SVP BIC",0.00600000000000023,10
"vary_n",1237,0,1,"SVP AR1",0.000999999999999446,1
"vary_n",1237,0,1,"SVP AR1 estimated rho",0.00199999999999978,1
"vary_n",1237,0,2,"SVP BIC",0.00499999999999989,8
"vary_n",1237,0,2,"SVP AR1",0.00199999999999978,1
"vary_n",1237,0,2,"SVP AR1 estimated rho",0.00100000000000033,1
"vary_n",1237,0,3,"SVP BIC",0.00600000000000023,10
"vary_n",1237,0,3,"SVP AR1",0.00199999999999978,1
"vary_n",1237,0,3,"SVP AR1 estimated rho",0.000999999999999446,1
"vary_n",1237,0,4,"SVP BIC",0.00499999999999989,9
"vary_n",1237,0,4,"SVP AR1",0.000999999999999446,1
"vary_n",1237,0,4,"SVP AR1 estimated rho",0.00200000000000067,1
"vary_n",1237,0,5,"SVP BIC",0.00499999999999989,10
"vary_n",1237,0,5,"SVP AR1",0.00200000000000067,1
"vary_n",1237,0,5,"SVP AR1 estimated rho",0.00200000000000067,1
"vary_n",1237,0,6,"SVP BIC",0.00400000000000045,13
"vary_n",1237,0,6,"SVP AR1",0.000999999999999446,1
"vary_n",1237,0,6,"SVP AR1 estimated rho",0.000999999999999446,1
"vary_n",1237,0,7,"SVP BIC",0.00600000000000023,11
"vary_n",1237,0,7,"SVP AR1",0.00100000000000033,1
"vary_n",1237,0,7,"SVP AR1 estimated rho",0.00199999999999978,1
"vary_n",1237,0,8,"SVP BIC",0.00399999999999956,10
"vary_n",1237,0,8,"SVP AR1",0.00199999999999978,1
"vary_n",1237,0,8,"SVP AR1 estimated rho",0.00199999999999978,1
"vary_n",1237,0,9,"SVP BIC",0.00399999999999956,11
"vary_n",1237,0,9,"SVP AR1",0.00100000000000033,1
"vary_n",1237,0,9,"SVP AR1 estimated rho",0.00199999999999978,1
"vary_n",1237,0,10,"SVP BIC",0.00400000000000045,11
"vary_n",1237,0,10,"SVP AR1",0.00100000000000033,1
"vary_n",1237,0,10,"SVP AR1 estimated rho",0.00200000000000067,1
"vary_n",1695,0,1,"SVP BIC",0.00699999999999967,13
"vary_n",1695,0,1,"SVP AR1",0.00300000000000011,1
"vary_n",1695,0,1,"SVP AR1 estimated rho",0.00300000000000011,1
"vary_n",1695,0,2,"SVP BIC",0.00700000000000056,9
"vary_n",1695,0,2,"SVP AR1",0.00300000000000011,1
"vary_n",1695,0,2,"SVP AR1 estimated rho",0.00200000000000067,1
"vary_n",1695,0,3,"SVP BIC",0.00599999999999934,16
"vary_n",1695,0,3,"SVP AR1",0.00200000000000067,1
"vary_n",1695,0,3,"SVP AR1 estimated rho",0.00300000000000011,1
"vary_n",1695,0,4,"SVP BIC",0.00600000000000023,10
"vary_n",1695,0,4,"SVP AR1",0.00199999999999978,1
"vary_n",1695,0,4,"SVP AR1 estimated rho",0.00300000000000011,1
"vary_n",1695,0,5,"SVP BIC",0.00699999999999967,12
"vary_n",1695,0,5,"SVP AR1",0.00300000000000011,1
"vary_n",1695,0,5,"SVP AR1 estimated rho",0.00199999999999978,1
"vary_n",1695,0,6,"SVP BIC",0.00600000000000023,18
"vary_n",1695,0,6,"SVP AR1",0.00199999999999978,1
"vary_n",1695,0,6,"SVP AR1 estimated rho",0.00200000000000067,1
"vary_n",1695,0,7,"SVP BIC",0.00600000000000023,16
"vary_n",1695,0,7,"SVP AR1",0.00200000000000067,1
"vary_n",1695,0,7,"SVP AR1 estimated rho",0.00300000000000011,1
"vary_n",1695,0,8,"SVP BIC",0.00600000000000023,17
"vary_n",1695,0,8,"SVP AR1",0.00200000000000067,1
"vary_n",1695,0,8,"SVP AR1 estimated rho",0.00300000000000011,1
"vary_n",1695,0,9,"SVP BIC",0.00900000000000034,8
"vary_n",1695,0,9,"SVP AR1",0.00200000000000067,1
"vary_n",1695,0,9,"SVP AR1 estimated rho",0.00300000000000011,1
"vary_n",1695,0,10,"SVP BIC",0.00699999999999967,13
"vary_n",1695,0,10,"SVP AR1",0.00300000000000011,1
