"experiment","n","k","rep","method","time","batch","block_elapsed","detected"
"vary_n",256,0,1,"SVP Gaussian / right / c = 1.642",7.09090909036935e-05,1100,0.0779999999940628,1
"vary_n",256,0,1,"SVP Gaussian / none / c = 0.968",9.01785714242058e-05,1120,0.100999999995111,1
"vary_n",256,0,1,"SVP Gaussian / both / c = 1.987",0.000982142857148054,56,0.055000000000291,1
"vary_n",256,0,1,"PELT",0.000192857142870447,280,0.0540000000037253,1
"vary_n",256,0,2,"SVP Gaussian / none / c = 0.968",0.000150649350661143,385,0.0580000000045402,1
"vary_n",256,0,2,"PELT",0.000180357142861404,560,0.101000000002387,3
"vary_n",256,0,2,"SVP Gaussian / right / c = 1.642",0.000380952380943373,168,0.0639999999984866,2
"vary_n",256,0,2,"SVP Gaussian / both / c = 1.987",0.0005000000000369,112,0.0560000000041327,2
"vary_n",256,0,3,"SVP Gaussian / none / c = 0.968",6.74999999955617e-05,800,0.0539999999964493,1
"vary_n",256,0,3,"SVP Gaussian / right / c = 1.642",6.99999999977246e-05,1100,0.0769999999974971,1
"vary_n",256,0,3,"SVP Gaussian / both / c = 1.987",0.0010000000000738,56,0.0560000000041327,1
"vary_n",256,0,3,"PELT",0.000203571428573923,280,0.0570000000006985,1
"vary_n",256,0,4,"SVP Gaussian / none / c = 0.968",0.000135714285715949,560,0.0760000000009313,1
"vary_n",256,0,4,"SVP Gaussian / both / c = 1.987",0.000946428571426493,56,0.0529999999998836,1
"vary_n",256,0,4,"PELT",0.00018571428570015,280,0.0519999999960419,1
"vary_n",256,0,4,"SVP Gaussian / right / c = 1.642",6.51785714321055e-05,1120,0.0730000000039581,1
"vary_n",256,0,5,"SVP Gaussian / right / c = 1.642",6.72727272732035e-05,1100,0.0740000000005239,1
"vary_n",256,0,5,"SVP Gaussian / both / c = 1.987",0.000963636363634247,55,0.0529999999998836,1
"vary_n",256,0,5,"SVP Gaussian / none / c = 0.968",7.27272727281639e-05,1045,0.0760000000009313,1
"vary_n",256,0,5,"PELT",0.000289285714279686,280,0.080999999998312,1
"vary_n",256,0,6,"SVP Gaussian / none / c = 0.968",7.5255102042227e-05,784,0.059000000001106,1
"vary_n",256,0,6,"SVP Gaussian / right / c = 1.642",7.18181818162768e-05,1100,0.0789999999979045,1
"vary_n",256,0,6,"PELT",0.000199999999988774,280,0.0559999999968568,1
"vary_n",256,0,6,"SVP Gaussian / both / c = 1.987",0.0010000000000738,56,0.0560000000041327,1
"vary_n",256,0,7,"SVP Gaussian / right / c = 1.642",6.87499999977652e-05,1120,0.0769999999974971,1
"vary_n",256,0,7,"SVP Gaussian / both / c = 1.987",0.000946428571426493,56,0.0529999999998836,1
"vary_n",256,0,7,"PELT",0.000207272727275267,275,0.0570000000006985,1
"vary_n",256,0,7,"SVP Gaussian / none / c = 0.968",6.87500000042616e-05,1120,0.077000000004773,1
"vary_n",256,0,8,"SVP Gaussian / both / c = 1.987",0.00107142857138699,56,0.0599999999976717,1
"vary_n",256,0,8,"SVP Gaussian / right / c = 1.642",0.000830357142863899,112,0.0930000000007567,2
"vary_n",256,0,8,"SVP Gaussian / none / c = 0.968",0.000422619047596873,168,0.0709999999962747,2
