"experiment","n","k","method","baseline_median","shortcut_median","median_speedup","matching_segment_counts","paired_rows"
"vary_k",10000,0,"PELT",0.0829999999999913,0.0830000000000269,0.999999999999572,10,10
"vary_k",10000,0,"SVP BIC",0.0130000000000052,0.0130000000000337,0.999999999997808,10,10
"vary_k",10000,0,"SVP BIC calibrated",0.0129999999999981,0.0129999999999768,1.00000000000163,10,10
"vary_k",10000,0,"SVP BIC multiscale",0.00100000000000477,4.30049999999994,0.000232531101035876,10,10
"vary_k",10000,1,"PELT",0.0460000000000065,0.0469999999999687,0.97872340425611,10,10
"vary_k",10000,1,"SVP BIC",1.076,1.30100000000005,0.827056110684064,10,10
"vary_k",10000,1,"SVP BIC calibrated",1.0695,1.28999999999996,0.829069767441883,10,10
"vary_k",10000,1,"SVP BIC multiscale",1.415,1.47449999999998,0.959647338080718,10,10
"vary_k",10000,2,"PELT",0.0260000000000034,0.0279999999999632,0.92857142857277,10,10
"vary_k",10000,2,"SVP BIC",0.741000000000007,0.839999999999975,0.882142857142892,10,10
"vary_k",10000,2,"SVP BIC calibrated",0.753,0.844000000000051,0.892180094786676,10,10
"vary_k",10000,2,"SVP BIC multiscale",0.8645,0.909500000000037,0.950522264980719,10,10
"vary_k",10000,3,"PELT",0.021000000000015,0.0240000000000009,0.875000000000592,10,10
"vary_k",10000,3,"SVP BIC",0.566999999999993,0.636500000000069,0.890809112332964,10,10
"vary_k",10000,3,"SVP BIC calibrated",0.5655,0.635000000000048,0.890551181102296,10,10
"vary_k",10000,3,"SVP BIC multiscale",0.635999999999996,0.681500000000028,0.933235509904578,10,10
"vary_k",10000,4,"PELT",0.0180000000000007,0.0179999999999154,1.00000000000474,10,10
"vary_k",10000,4,"SVP BIC",0.465000000000003,0.513500000000022,0.905550146056442,10,10
"vary_k",10000,4,"SVP BIC calibrated",0.467500000000001,0.512999999999977,0.911306042885033,10,10
"vary_k",10000,4,"SVP BIC multiscale",0.513000000000005,0.541499999999985,0.947368421052667,10,10
"vary_k",10000,5,"PELT",0.0149999999999864,0.0160000000000764,0.937499999994673,10,10
"vary_k",10000,5,"SVP BIC",0.394999999999996,0.425000000000011,0.929411764705848,10,10
"vary_k",10000,5,"SVP BIC calibrated",0.394000000000005,0.427500000000009,0.921637426900577,10,10
"vary_k",10000,5,"SVP BIC multiscale",0.425499999999986,0.446000000000026,0.954035874439374,10,10
"vary_k",10000,6,"PELT",0.0130000000000052,0.01400000000001,0.928571428571137,10,10
"vary_k",10000,6,"SVP BIC",0.346499999999991,0.368000000000052,0.941576086956366,10,10
"vary_k",10000,6,"SVP BIC calibrated",0.347000000000008,0.365999999999985,0.94808743169405,10,10
"vary_k",10000,6,"SVP BIC multiscale",0.368499999999997,0.386000000000024,0.954663212435167,10,10
"vary_k",10000,7,"PELT",0.0120000000000005,0.0130000000000337,0.923076923074569,10,10
"vary_k",10000,7,"SVP BIC",0.307000000000002,0.324999999999932,0.94461538461559,10,10
"vary_k",10000,7,"SVP BIC calibrated",0.3065,0.326000000000022,0.940184049079691,10,10
"vary_k",10000,7,"SVP BIC multiscale",0.327999999999989,0.339499999999987,0.966126656848311,10,10
"vary_k",10000,8,"PELT",0.0124999999999886,0.0110000000000241,1.13636363636011,10,10
"vary_k",10000,8,"SVP BIC",0.272999999999996,0.291999999999973,0.934931506849388,10,10
"vary_k",10000,8,"SVP BIC calibrated",0.271999999999991,0.291500000000042,0.933104631217675,10,10
"vary_k",10000,8,"SVP BIC multiscale",0.287500000000009,0.302999999999997,0.948844884488486,10,10
"vary_k",10000,9,"PELT",0.0099999999999909,0.0115000000000123,0.869565217389583,10,10
"vary_k",10000,9,"SVP BIC",0.24799999999999,0.264999999999986,0.935849056603785,10,10
"vary_k",10000,9,"SVP BIC calibrated",0.247499999999988,0.264499999999998,0.935727788279735,10,10
"vary_k",10000,9,"SVP BIC multiscale",0.257500000000008,0.272500000000036,0.944954128440268,10,10
"vary_k",10000,10,"PELT",0.00950000000000273,0.0099999999999909,0.950000000001137,10,10
"vary_k",10000,10,"SVP BIC",0.225999999999999,0.242500000000006,0.931958762886569,10,10
"vary_k",10000,10,"SVP BIC calibrated",0.226500000000002,0.245000000000062,0.924489795918141,10,10
"vary_k",10000,10,"SVP BIC multiscale",0.236999999999995,0.254999999999996,0.929411764705879,10,10
"vary_k",10000,11,"PELT",0.00899999999998613,0.00900000000001455,0.999999999996842,10,10
"vary_k",10000,11,"SVP BIC",0.209499999999991,0.224999999999966,0.931111111111214,10,10
"vary_k",10000,11,"SVP BIC calibrated",0.208999999999989,0.223500000000002,0.935123042505537,10,10
"vary_k",10000,11,"SVP BIC multiscale",0.219999999999999,0.230999999999995,0.952380952380969,10,10
"vary_k",10000,12,"PELT",0.00799999999999557,0.00849999999996954,0.941176470591087,10,10
"vary_k",10000,12,"SVP BIC",0.195999999999998,0.208500000000015,0.940047961630618,10,10
"vary_k",10000,12,"SVP BIC calibrated",0.195999999999998,0.208500000000072,0.940047961630361,10,10
"vary_k",10000,12,"SVP BIC multiscale",0.203999999999994,0.212499999999977,0.960000000000073,10,10
"vary_k",10000,13,"PELT",0.00800000000000978,0.0080000000000382,0.999999999996448,10,10
"vary_k",10000,13,"SVP BIC",0.184500000000014,0.193499999999972,0.953488372093234,10,10
"vary_k",10000,13,"SVP BIC calibrated",0.185000000000002,0.196000000000026,0.943877551020293,10,10
"vary_k",10000,13,"SVP BIC multiscale",0.191500000000019,0.199000000000012,0.962311557788982,10,10
"vary_k",10000,14,"PELT",0.007000000000005,0.00750000000005003,0.933333333327775,10,10
"vary_k",10000,14,"SVP BIC",0.171500000000008,0.180500000000052,0.9501385041549,10,10
"vary_k",10000,14,"SVP BIC calibrated",0.171500000000008,0.181999999999903,0.942307692308241,10,10
"vary_k",10000,14,"SVP BIC multiscale",0.178500000000013,0.184500000000014,0.967479674796748,10,10
"vary_k",10000,15,"PELT",0.007000000000005,0.007000000000005,0.999999999999999,10,10
"vary_k",10000,15,"SVP BIC",0.162999999999982,0.170499999999947,0.956011730205473,10,10
"vary_k",10000,15,"SVP BIC calibrated",0.163499999999999,0.169000000000096,0.96745562130122,10,10
"vary_k",10000,15,"SVP BIC multiscale",0.169000000000012,0.171999999999969,0.98255813953513,10,10
"vary_k",10000,16,"PELT",0.00600000000002865,0.00700000000006185,0.857142857139377,10,10
"vary_k",10000,16,"SVP BIC",0.155499999999989,0.16149999999999,0.96284829721362,10,10
"vary_k",10000,16,"SVP BIC calibrated",0.154999999999972,0.160999999999945,0.962732919254816,10,10
"vary_k",10000,16,"SVP BIC multiscale",0.159999999999996,0.163999999999987,0.975609756097617,10,10
"vary_k",10000,17,"PELT",0.00600000000002865,0.00600000000002865,1,10,10
"vary_k",10000,17,"SVP BIC",0.146999999999991,0.15300000000002,0.960784313725306,10,10
"vary_k",10000,17,"SVP BIC calibrated",0.149000000000001,0.152999999999906,0.973856209150932,10,10
"vary_k",10000,17,"SVP BIC multiscale",0.15100000000001,0.156000000000006,0.967948717948745,10,10
"vary_k",10000,18,"PELT",0.00549999999998363,0.00600000000008549,0.916666666650877,10,10
"vary_k",10000,18,"SVP BIC",0.137999999999977,0.14549999999997,0.94845360824746,10,10
"vary_k",10000,18,"SVP BIC calibrated",0.138000000000006,0.144999999999982,0.951724137931191,10,10
"vary_k",10000,18,"SVP BIC multiscale",0.142999999999972,0.14549999999997,0.982817869415818,10,10
"vary_k",10000,19,"PELT",0.00599999999997181,0.00600000000008549,0.999999999981053,10,10
"vary_k",10000,19,"SVP BIC",0.131000000000029,0.138499999999908,0.945848375452101,10,10
"vary_k",10000,19,"SVP BIC calibrated",0.131,0.138999999999896,0.942446043166176,10,10
"vary_k",10000,19,"SVP BIC multiscale",0.135999999999996,0.141000000000076,0.964539007091647,10,10
"vary_k",10000,20,"PELT",0.00549999999998363,0.00599999999985812,0.916666666685614,10,10
"vary_k",10000,20,"SVP BIC",0.126500000000021,0.134999999999991,0.937037037037259,10,10
"vary_k",10000,20,"SVP BIC calibrated",0.125499999999988,0.134000000000015,0.93656716417891,10,10
"vary_k",10000,20,"SVP BIC multiscale",0.130000000000023,0.134500000000003,0.966542750929521,10,10
"vary_k",10000,21,"PELT",0.00499999999999545,0.00550000000009732,0.909090909073997,10,10
"vary_k",10000,21,"SVP BIC",0.120999999999981,0.131000000000085,0.92366412213666,10,10
