"method","n","median_time","lower","upper"
"PELT",256,0.000182142857140986,0.000178679653686526,0.000185714285726135
"PELT",319,0.00024099025974019,0.000234667207789196,0.000258035714279816
"PELT",397,0.000291883116887067,0.000280098684214508,0.000296428571423998
"PELT",494,0.00037142857145227,0.000363636363644301,0.000382575757575151
"PELT",614,0.000500000000002646,0.000481818181817123,0.000502500000024416
"PELT",765,0.000696428571408043,0.000660673701303725,0.000705357142838433
"PELT",952,0.00100000000003955,0.000940476190451244,0.00103571428566543
"PELT",1185,0.00139285714288105,0.00125892857145768,0.00144642857139843
"PELT",1475,0.00204417293236092,0.00185714285726135,0.00215789473689878
"PELT",1836,0.00292105263150389,0.00273684210524631,0.00321428571442084
"PELT",2285,0.00453571428572884,0.00421364448060068,0.00487499999986198
"PELT",2844,0.00718750000032742,0.00662499999998545,0.00757142857141194
"PELT",3540,0.00977380952385179,0.00885357142830929,0.0112000000008265
"PELT",4406,0.014500000001135,0.0134999999991123,0.0167531250006505
"PELT",5484,0.022166666668151,0.0186666666656189,0.0261666666665406
"PELT",6826,0.038749999999709,0.032999999999447,0.0420000000012806
"PELT",8496,0.0534999999981665,0.0492500000000291,0.0570000000006985
"PELT",10575,0.0894999999982247,0.0760000000009313,0.0969999999942956
"PELT",13163,0.125,0.111000000000786,0.145500000002357
"PELT",16384,0.197500000002037,0.187000000001717,0.209499999997297
"SVP Gaussian / both / c = 1.987",256,0.000928571428609021,0.000927272727263202,0.00094545454538258
"SVP Gaussian / both / c = 1.987",319,0.0015357142857673,0.00153571428563737,0.00155357142856311
"SVP Gaussian / both / c = 1.987",397,0.00252631578950968,0.00250000000003064,0.00255263157898873
"SVP Gaussian / both / c = 1.987",494,0.0040833333334073,0.00407142857121861,0.00414285714266173
"SVP Gaussian / both / c = 1.987",614,0.00649999999950523,0.00637500000016189,0.00650000000041473
"SVP Gaussian / both / c = 1.987",765,0.0103333333330132,0.0101666666669189,0.0103333333342259
"SVP Gaussian / both / c = 1.987",952,0.0160000000014406,0.0159999999996217,0.0162499999987631
"SVP Gaussian / both / c = 1.987",1185,0.0253333333336438,0.0253333333312185,0.0253333333336438
"SVP Gaussian / both / c = 1.987",1475,0.0400000000008731,0.0395000000025902,0.0400000000008731
"SVP Gaussian / both / c = 1.987",1836,0.0639999999984866,0.0630000000019209,0.0639999999984866
"SVP Gaussian / both / c = 1.987",2285,0.100999999995111,0.0999999999985448,0.100999999998749
"SVP Gaussian / both / c = 1.987",2844,0.159999999996217,0.158000000003085,0.161000000000058
"SVP Gaussian / both / c = 1.987",3540,0.25,0.248999999996158,0.251012500003617
"SVP Gaussian / both / c = 1.987",4406,0.388500000000931,0.386000000005879,0.390999999995984
"SVP Gaussian / both / c = 1.987",5484,0.611000000000786,0.60899999999674,0.61449999999968
"SVP Gaussian / both / c = 1.987",6826,0.953000000001339,0.951000000000931,0.958999999995285
"SVP Gaussian / both / c = 1.987",8496,1.57049999999799,1.55799999999726,1.58651250000121
"SVP Gaussian / both / c = 1.987",10575,2.45049999999901,2.42250000000058,2.49699999999575
"SVP Gaussian / both / c = 1.987",13163,3.76199999999881,3.72748750000083,3.78499999999995
"SVP Gaussian / both / c = 1.987",16384,5.90400000000227,5.88250000000335,5.93399999999383
"SVP Gaussian / none / c = 0.968",256,9.5503246753037e-05,7.464114832664e-05,0.000136038961045415
"SVP Gaussian / none / c = 0.968",319,0.000107142857145196,7.56737012977294e-05,0.000145431354356735
"SVP Gaussian / none / c = 0.968",397,0.000154464285710024,9.63636363634247e-05,0.000193939393934808
"SVP Gaussian / none / c = 0.968",494,0.000201785714294342,0.000146173469379484,0.000305451127814078
"SVP Gaussian / none / c = 0.968",614,0.000343330627718139,0.000214151785706105,0.000577272727274579
"SVP Gaussian / none / c = 0.968",765,0.000481818181795075,0.00019736842106412,0.000645454545486824
"SVP Gaussian / none / c = 0.968",952,0.000781818181779024,0.000492965367956344,0.000928571428609562
"SVP Gaussian / none / c = 0.968",1185,0.000819805194841102,0.000288189935074481,0.00120535714287533
"SVP Gaussian / none / c = 0.968",1475,0.00124107142859689,0.000781250000012993,0.00195112781954291
"SVP Gaussian / none / c = 0.968",1836,0.00175892857142961,0.000973043831168956,0.0030357142856831
"SVP Gaussian / none / c = 0.968",2285,0.00276315789482109,0.00167723214287402,0.00477272727254207
"SVP Gaussian / none / c = 0.968",2844,0.00669285714284342,0.00424999999995634,0.00909732142818029
"SVP Gaussian / none / c = 0.968",3540,0.00800000000059039,0.00550000000051417,0.0131999999997788
"SVP Gaussian / none / c = 0.968",4406,0.0155000000004293,0.0112974999990365,0.0195031250009151
"SVP Gaussian / none / c = 0.968",5484,0.0210000000006403,0.0138749999996435,0.03125
"SVP Gaussian / none / c = 0.968",6826,0.038749999999709,0.0218333333335371,0.0499999999993634
"SVP Gaussian / none / c = 0.968",8496,0.0560000000004948,0.0420000000012806,0.084500000000844
"SVP Gaussian / none / c = 0.968",10575,0.0544999999983702,0.0294166666656868,0.0930000000007567
"SVP Gaussian / none / c = 0.968",13163,0.11449999999968,0.0629749999983687,0.164000000004307
"SVP Gaussian / none / c = 0.968",16384,0.133999999998196,0.110000000000582,0.218225000000711
"SVP Gaussian / right / c = 1.642",256,6.60714285718963e-05,6.60714285685669e-05,6.63636363606202e-05
"SVP Gaussian / right / c = 1.642",319,7.0909090910308e-05,7.0909090910308e-05,7.14285714294467e-05
"SVP Gaussian / right / c = 1.642",397,7.74756493533519e-05,7.72727272719335e-05,7.7678571434652e-05
"SVP Gaussian / right / c = 1.642",494,8.63636363580802e-05,8.57142857122588e-05,8.64853896116204e-05
"SVP Gaussian / right / c = 1.642",614,9.3844696969671e-05,9.28571428630676e-05,9.4545454538258e-05
"SVP Gaussian / right / c = 1.642",765,0.000106601731599432,0.000105454545449571,0.000107142857151692
"SVP Gaussian / right / c = 1.642",952,0.000123636363635094,0.000123214285719899,0.00012499999999948
"SVP Gaussian / right / c = 1.642",1185,0.000145454545446381,0.000145408163267088,0.000146428571432417
"SVP Gaussian / right / c = 1.642",1475,0.000174999999996674,0.000173341836735206,0.000176271645023957
"SVP Gaussian / right / c = 1.642",1836,0.000207518796997831,0.000207142857133087,0.00021062030074316
"SVP Gaussian / right / c = 1.642",2285,0.000250454545469485,0.000249999999983916,0.000252654487795002
"SVP Gaussian / right / c = 1.642",2844,0.000310620300753959,0.000307142857140467,0.000313636363650651
"SVP Gaussian / right / c = 1.642",3540,0.000375757575790031,0.000375000000011434,0.000378571428570597
"SVP Gaussian / right / c = 1.642",4406,0.0004803030303182,0.000478787878775179,0.00048484848483702
"SVP Gaussian / right / c = 1.642",5484,0.000607142857136621,0.000600000000023019,0.000612581168825154
"SVP Gaussian / right / c = 1.642",6826,0.000745454545474124,0.000741071428624959,0.000750000000022867
"SVP Gaussian / right / c = 1.642",8496,0.000952380952358432,0.00094545454538258,0.000969913419925181
"SVP Gaussian / right / c = 1.642",10575,0.00121428571433821,0.00119642857147742,0.00123636363635094
"SVP Gaussian / right / c = 1.642",13163,0.00142857142860261,0.00141818181820616,0.00143246753246407
"SVP Gaussian / right / c = 1.642",16384,0.00181578947367119,0.00180357142854746,0.00182142857140986
