"pattern","jump","method","F1_new","Precision_new","Recall_new","CorrectNumCP_new","MSE_new","NumSegments_new","F1_old","Precision_old","Recall_old","CorrectNumCP_old","MSE_old","NumSegments_old","delta_F1","delta_Precision","delta_Recall","delta_CorrectNumCP","delta_MSE","delta_NumSegments"
"none",1,"DeCAFS AR1",0.97,0.97,0.97,0.97,0.0178916585728075,1.03,0.93,0.93,0.93,0.93,0.0187946365877139,1.07,0.04,0.04,0.04,0.04,-0.000902978014906339,-0.04
"none",1,"PELT AR1 approximate",0.98,0.98,0.98,0.98,0.0189838949950197,1.03,1,1,1,1,0.0161525981714723,1,-0.02,-0.02,-0.02,-0.02,0.00283129682354745,0.03
"none",1,"PELT inflated",1,1,1,1,0.0161525981714723,1,1,1,1,1,0.0161525981714723,1,0,0,0,0,0,0
"none",1,"SVP AR1Focus",1,1,1,1,0.0161525981714723,1,1,1,1,1,0.0161525981714723,1,0,0,0,0,0,0
"none",1.2,"DeCAFS AR1",0.98,0.98,0.98,0.98,0.0191790085005403,1.02,0.94,0.94,0.94,0.94,0.0207283278225597,1.06,0.04,0.04,0.04,0.04,-0.00154931932201933,-0.04
"none",1.2,"PELT AR1 approximate",1,1,1,1,0.018283714689493,1,1,1,1,1,0.018283714689493,1,0,0,0,0,0,0
"none",1.2,"PELT inflated",1,1,1,1,0.018283714689493,1,1,1,1,1,0.018283714689493,1,0,0,0,0,0,0
"none",1.2,"SVP AR1Focus",1,1,1,1,0.018283714689493,1,1,1,1,1,0.018283714689493,1,0,0,0,0,0,0
"none",1.4,"DeCAFS AR1",0.97,0.97,0.97,0.97,0.0179880729818728,1.03,0.93,0.93,0.93,0.93,0.0206778150979543,1.07,0.04,0.04,0.04,0.04,-0.00268974211608145,-0.04
"none",1.4,"PELT AR1 approximate",0.98,0.98,0.98,0.98,0.0195068746378352,1.02,1,1,1,1,0.0172922680187753,1,-0.02,-0.02,-0.02,-0.02,0.00221460661905989,0.02
"none",1.4,"PELT inflated",1,1,1,1,0.0172922680187753,1,1,1,1,1,0.0172922680187753,1,0,0,0,0,0,0
"none",1.4,"SVP AR1Focus",1,1,1,1,0.0172922680187753,1,1,1,1,1,0.0172922680187753,1,0,0,0,0,0,0
"none",1.6,"DeCAFS AR1",0.99,0.99,0.99,0.99,0.0172571486377441,1.01,0.94,0.94,0.94,0.94,0.0205848583279641,1.06,0.05,0.05,0.05,0.05,-0.00332770969022007,-0.05
"none",1.6,"PELT AR1 approximate",0.98,0.98,0.98,0.98,0.0206116122010604,1.02,1,1,1,1,0.0170882254941189,1,-0.02,-0.02,-0.02,-0.02,0.00352338670694155,0.02
"none",1.6,"PELT inflated",1,1,1,1,0.0170882254941189,1,1,1,1,1,0.0170882254941189,1,0,0,0,0,0,0
"none",1.6,"SVP AR1Focus",1,1,1,1,0.0170882254941189,1,1,1,1,1,0.0170882254941189,1,0,0,0,0,0,0
"none",1.8,"DeCAFS AR1",0.99,0.99,0.99,0.99,0.0132468258652096,1.01,0.99,0.99,0.99,0.99,0.0132468258652096,1.01,0,0,0,0,0,0
"none",1.8,"PELT AR1 approximate",0.99,0.99,0.99,0.99,0.0150949406595293,1.01,1,1,1,1,0.0129607032408332,1,-0.01,-0.01,-0.01,-0.01,0.0021342374186961,0.01
"none",1.8,"PELT inflated",1,1,1,1,0.0129607032408332,1,1,1,1,1,0.0129607032408332,1,0,0,0,0,0,0
"none",1.8,"SVP AR1Focus",0.99,0.99,0.99,0.99,0.0151203204101427,1.01,1,1,1,1,0.0129607032408332,1,-0.01,-0.01,-0.01,-0.01,0.00215961716930953,0.01
"none",2,"DeCAFS AR1",0.99,0.99,0.99,0.99,0.015925627077571,1.01,0.98,0.98,0.98,0.98,0.0160378173928289,1.02,0.01,0.01,0.01,0.01,-0.000112190315257884,-0.01
"none",2,"PELT AR1 approximate",0.98,0.98,0.98,0.98,0.0191806048664036,1.02,1,1,1,1,0.0158038057735661,1,-0.02,-0.02,-0.02,-0.02,0.00337679909283748,0.02
"none",2,"PELT inflated",1,1,1,1,0.0158038057735661,1,1,1,1,1,0.0158038057735661,1,0,0,0,0,0,0
"none",2,"SVP AR1Focus",1,1,1,1,0.0158038057735661,1,1,1,1,1,0.0158038057735661,1,0,0,0,0,0,0
"none",2.2,"DeCAFS AR1",1,1,1,1,0.0158262753681369,1,0.99,0.99,0.99,0.99,0.0163200351295812,1.01,0.01,0.01,0.01,0.01,-0.000493759761444282,-0.01
"none",2.2,"PELT AR1 approximate",1,1,1,1,0.0158262753681369,1,1,1,1,1,0.0158262753681369,1,0,0,0,0,0,0
"none",2.2,"PELT inflated",1,1,1,1,0.0158262753681369,1,1,1,1,1,0.0158262753681369,1,0,0,0,0,0,0
"none",2.2,"SVP AR1Focus",1,1,1,1,0.0158262753681369,1,1,1,1,1,0.0158262753681369,1,0,0,0,0,0,0
"none",2.4,"DeCAFS AR1",1,1,1,1,0.0139538803736396,1,0.92,0.92,0.92,0.92,0.0170003514598458,1.08,0.08,0.08,0.08,0.08,-0.00304647108620626,-0.0800000000000001
"none",2.4,"PELT AR1 approximate",0.99,0.99,0.99,0.99,0.0159241432377984,1.01,1,1,1,1,0.0139538803736396,1,-0.01,-0.01,-0.01,-0.01,0.0019702628641588,0.01
"none",2.4,"PELT inflated",1,1,1,1,0.0139538803736396,1,1,1,1,1,0.0139538803736396,1,0,0,0,0,0,0
"none",2.4,"SVP AR1Focus",1,1,1,1,0.0139538803736396,1,1,1,1,1,0.0139538803736396,1,0,0,0,0,0,0
"none",2.6,"DeCAFS AR1",1,1,1,1,0.0132162883741748,1,0.96,0.96,0.96,0.96,0.0139471256924066,1.04,0.04,0.04,0.04,0.04,-0.000730837318231795,-0.04
"none",2.6,"PELT AR1 approximate",0.99,0.99,0.99,0.99,0.0148700520500161,1.01,1,1,1,1,0.0132162883741748,1,-0.01,-0.01,-0.01,-0.01,0.00165376367584131,0.01
"none",2.6,"PELT inflated",1,1,1,1,0.0132162883741748,1,1,1,1,1,0.0132162883741748,1,0,0,0,0,0,0
"none",2.6,"SVP AR1Focus",0.99,0.99,0.99,0.99,0.0132635630070802,1.01,1,1,1,1,0.0132162883741748,1,-0.01,-0.01,-0.01,-0.01,4.72746329054745e-05,0.01
"none",2.8,"DeCAFS AR1",1,1,1,1,0.0123380161944833,1,0.96,0.96,0.96,0.96,0.0131883380763698,1.04,0.04,0.04,0.04,0.04,-0.000850321881886534,-0.04
"none",2.8,"PELT AR1 approximate",0.99,0.99,0.99,0.99,0.0145421144986485,1.01,1,1,1,1,0.0123380161944833,1,-0.01,-0.01,-0.01,-0.01,0.00220409830416524,0.01
"none",2.8,"PELT inflated",1,1,1,1,0.0123380161944833,1,1,1,1,1,0.0123380161944833,1,0,0,0,0,0,0
"none",2.8,"SVP AR1Focus",1,1,1,1,0.0123380161944833,1,1,1,1,1,0.0123380161944833,1,0,0,0,0,0,0
"none",3,"DeCAFS AR1",1,1,1,1,0.014024054091846,1,0.97,0.97,0.97,0.97,0.0146782684132255,1.03,0.03,0.03,0.03,0.03,-0.000654214321379484,-0.03
"none",3,"PELT AR1 approximate",0.99,0.99,0.99,0.99,0.0160241589382818,1.01,1,1,1,1,0.014024054091846,1,-0.01,-0.01,-0.01,-0.01,0.00200010484643575,0.01
"none",3,"PELT inflated",1,1,1,1,0.014024054091846,1,1,1,1,1,0.014024054091846,1,0,0,0,0,0,0
"none",3,"SVP AR1Focus",0.99,0.99,0.99,0.99,0.0144686784278495,1.01,1,1,1,1,0.014024054091846,1,-0.01,-0.01,-0.01,-0.01,0.000444624336003488,0.01
"none",3.2,"DeCAFS AR1",1,1,1,1,0.0123861775081744,1,0.93,0.93,0.93,0.93,0.0144515737458018,1.07,0.0700000000000001,0.0700000000000001,0.0700000000000001,0.0700000000000001,-0.0020653962376274,-0.0700000000000001
"none",3.2,"PELT AR1 approximate",1,1,1,1,0.0123861775081744,1,1,1,1,1,0.0123861775081744,1,0,0,0,0,0,0
"none",3.2,"PELT inflated",1,1,1,1,0.0123861775081744,1,1,1,1,1,0.0123861775081744,1,0,0,0,0,0,0
"none",3.2,"SVP AR1Focus",0.99,0.99,0.99,0.99,0.0136748495502964,1.01,1,1,1,1,0.0123861775081744,1,-0.01,-0.01,-0.01,-0.01,0.00128867204212206,0.01
"none",3.4,"DeCAFS AR1",1,1,1,1,0.0135541795202618,1,0.98,0.98,0.98,0.98,0.0143773777852041,1.02,0.02,0.02,0.02,0.02,-0.000823198264942256,-0.02
"none",3.4,"PELT AR1 approximate",0.99,0.99,0.99,0.99,0.0146005691827491,1.02,1,1,1,1,0.0135541795202618,1,-0.01,-0.01,-0.01,-0.01,0.00104638966248728,0.02
"none",3.4,"PELT inflated",1,1,1,1,0.0135541795202618,1,1,1,1,1,0.0135541795202618,1,0,0,0,0,0,0
"none",3.4,"SVP AR1Focus",1,1,1,1,0.0135541795202618,1,1,1,1,1,0.0135541795202618,1,0,0,0,0,0,0
"none",3.6,"DeCAFS AR1",0.99,0.99,0.99,0.99,0.0146660194375966,1.01,0.96,0.96,0.96,0.96,0.0152308733608687,1.04,0.03,0.03,0.03,0.03,-0.000564853923272074,-0.03
"none",3.6,"PELT AR1 approximate",0.99,0.99,0.99,0.99,0.0171920577680529,1.01,1,1,1,1,0.0141126707931972,1,-0.01,-0.01,-0.01,-0.01,0.00307938697485565,0.01
"none",3.6,"PELT inflated",0.99,0.99,0.99,0.99,0.0172086369162354,1.01,0.99,0.99,0.99,0.99,0.0172086369162354,1.01,0,0,0,0,0,0
"none",3.6,"SVP AR1Focus",0.99,0.99,0.99,0.99,0.0172086369162354,1.01,1,1,1,1,0.0141126707931972,1,-0.01,-0.01,-0.01,-0.01,0.00309596612303819,0.01
