"pattern","jump","method","new_F1","new_Precision","new_Recall","new_CorrectNumCP","new_MSE","new_NumSegments","old_F1","old_Precision","old_Recall","old_CorrectNumCP","old_MSE","old_NumSegments","delta_F1","delta_Precision","delta_Recall","delta_CorrectNumCP","delta_MSE","delta_NumSegments"
"none",0.1,"PELT",0,0,0,0,11.4491121107793,77.36,0.0259917626053824,0.0131706831517978,1,0,11.4491121107793,77.36,-0.0259917626053824,-0.0131706831517978,-1,0,0,0
"none",0.1,"RFPOP",1,1,1,1,0.00190299648291495,1,0.954,0.9375,1,0.9,0.00746468057158761,1.18,0.046,0.0625,0,0.1,-0.00556168408867267,-0.18
"none",0.1,"SVP MedianMood",1,1,1,1,0.0160446700757966,1,0.996666666666667,0.995,1,0.99,0.0162111300031253,1.01,0.0033333333333333,0.005,0,0.01,-0.000166459927328638,-0.01
"none",0.1,"SVP Wilcoxon",1,1,1,1,0.0160446700757966,1,1,1,1,1,0.0160446700757966,1,0,0,0,0,0,0
"none",0.2,"PELT",0,0,0,0,7.931073590614,76.57,0.0265012128241105,0.0134339960927602,1,0,7.931073590614,76.57,-0.0265012128241105,-0.0134339960927602,-1,0,0,0
"none",0.2,"RFPOP",1,1,1,1,0.00253452420180692,1,0.959,0.944166666666667,1,0.91,0.00742669546424351,1.16,0.041,0.0558333333333334,0,0.0900000000000001,-0.0048921712624366,-0.16
"none",0.2,"SVP MedianMood",1,1,1,1,0.0110154658654385,1,1,1,1,1,0.0110154658654385,1,0,0,0,0,0,0
"none",0.2,"SVP Wilcoxon",0.99,0.99,0.99,0.99,0.0120607305448313,1.01,0.993333333333333,0.99,1,0.98,0.0123359699191073,1.02,-0.0033333333333333,0,-0.01,0.01,-0.00027523937427594,-0.01
"none",0.3,"PELT",0,0,0,0,11.2647887363159,78.3,0.0259040369128068,0.013126995684306,1,0,11.2647887363159,78.3,-0.0259040369128068,-0.013126995684306,-1,0,0,0
"none",0.3,"RFPOP",1,1,1,1,0.00210004335822276,1,0.946666666666667,0.926666666666667,1,0.88,0.0089105814959184,1.2,0.0533333333333333,0.0733333333333334,0,0.12,-0.00681053813769564,-0.2
"none",0.3,"SVP MedianMood",1,1,1,1,0.011736752563011,1,0.983333333333333,0.975,1,0.95,0.0129543859330578,1.05,0.0166666666666667,0.025,0,0.05,-0.00121763337004677,-0.05
"none",0.3,"SVP Wilcoxon",0.98,0.98,0.98,0.98,0.0127199343885836,1.02,0.98,0.97,1,0.94,0.0175118267495613,1.06,0,0.01,-0.02,0.04,-0.00479189236097766,-0.04
"none",0.4,"PELT",0,0,0,0,12.4067349693613,80.81,0.0251686721100857,0.0127502028611962,1,0,12.4067349693613,80.81,-0.0251686721100857,-0.0127502028611962,-1,0,0,0
"none",0.4,"RFPOP",0.99,0.99,0.99,0.99,0.00274953065753799,1.01,0.953333333333333,0.936666666666667,1,0.9,0.00893850672787484,1.18,0.0366666666666666,0.0533333333333333,-0.01,0.09,-0.00618897607033685,-0.17
"none",0.4,"SVP MedianMood",1,1,1,1,0.0139354503765212,1,1,1,1,1,0.0139354503765212,1,0,0,0,0,0,0
